,0
Col_PLASMID,0.0007462775394127803
IncB_PLASMID,0.0
IncC_PLASMID,9.248842903170017e-12
IncFIA_PLASMID,7.13988996496001e-07
IncFIB_PLASMID,0.0
IncFII_PLASMID,2.0028731278059685e-05
IncI_PLASMID,6.801395010072739e-06
IncN_PLASMID,0.0
IncQ_PLASMID,8.95499834604971e-12
IncX_PLASMID,0.0
IncY_PLASMID,0.0
aac_AMR,6.800634377762446e-06
aap_VIR,3.1466866460703443e-12
amp_AMR,0.0
ant_AMR,3.8554165959314596e-13
aph_AMR,6.282697711084155e-07
arr_AMR,0.0
ast_VIR,0.0
blaCMY_AMR,0.0
blaCTX-M-14_AMR,0.0
blaCTX-M-15_AMR,4.640493073429109e-05
blaCTX-M-27_AMR,0.0
blaCTX-M_AMR,0.0
blaKPC_AMR,0.0
blaOXA_AMR,0.0
blaTEM_AMR,7.572015558543567e-37
cap_VIR,0.0
cat_AMR,5.761538874998718e-11
cml_AMR,1.1796637822993249e-12
cva_VIR,0.0
dfr_AMR,1.4882323569679804e-07
emr_STRESS,1.2115224893669707e-35
erm_AMR,0.0
fde_VIR,4.846089957467883e-35
glp_AMR,1.2115224893669707e-35
gyr_AMR,0.0047744756623961035
ibe_VIR,0.0
iha_VIR,3.956711398784304e-12
ire_VIR,0.0
iro_VIR,0.0
iss_VIR,0.00011097251180737057
iuc_VIR,0.0
iut_VIR,7.051989025011255e-46
mch_VIR,0.0
mdt_AMR,0.00030181690836149713
mer_STRESS,0.00038920190346935455
mph_AMR,1.1601705245857679e-12
p0111_PLASMID,0.0
pap_VIR,9.48563232274285e-16
par_AMR,4.846089957467883e-35
pmr_AMR,7.394546443890202e-40
qnr_AMR,0.0
sat_AMR,0.0
sat_VIR,0.0002004346064920971
sen_VIR,5.279011552300246e-13
sfa_VIR,0.0
ssl_VIR,6.750551937253855e-05
sul_AMR,6.3105120328520326e-06
tet(A)_AMR,0.00014589846755939126
tet(B)_AMR,8.85210972494745e-05
ymg_STRESS,0.0
blood_META,2.293450317223053e-05
PRJNA248737_META,0.0
PRJNA278886_META,2.1870209162118557e-07
PRJNA288601_META,0.0
PRJNA381936_META,0.0
PRJNA448593_META,0.0
PRJNA475142_META,2.1758168038511357e-12
PRJNA475751_META,0.0
PRJNA530580_META,0.0
PRJNA530794_META,0.0
PRJNA578285_META,0.0
PRJNA592372_META,0.0
PRJNA658369_META,0.0
PRJNA809394_META,6.618552227235989e-05
PRJNA824420_META,0.0
PRJNA836696_META,0.0
aad-qac_AMR,3.2083565000917153e-06
cnf-hly_VIR,0.00015620839161187527
blaNDM-ble_AMR,0.0
trx-kef-psi_STRESS,0.0
agg-aar-aat_VIR,5.655844234241154e-14
afa-nfa_VIR,0.0002281471428567766
time_fitness,0.01210465150114631
random_fitness,0.014684830497137688
AMR,0.0052794196404313265
Plasmid,0.0008173793288190626
Virulence,0.0003637074022842211
Stress,0.00038920190346935455
Background,0.0001320158515370095
Time,0.01210465150114631
Random,0.014684830497137688
AMR_MULT_FITNESS,1.0441866714207686
Plasmid_MULT_FITNESS,1.0494014196373203
Virulence_MULT_FITNESS,1.2083407191373583
Stress_MULT_FITNESS,1.0482473734297437
Background_MULT_FITNESS,0.9891316153225885
Time_MULT_FITNESS,1.1182957024030256
Random_MULT_FITNESS,1.0365543260982486
AMR_Plasmid_COV,0.0038474764374460475
AMR_Virulence_COV,-0.0015347379874140065
AMR_Stress_COV,0.001873127131312739
AMR_Background_COV,0.0006438568639139359
AMR_Time_COV,0.0011682232206652412
AMR_Random_COV,-1.1311574003246905e-06
Plasmid_Virulence_COV,-0.0005112398591626053
Plasmid_Stress_COV,0.000868989624073656
Plasmid_Background_COV,0.00014054071983775823
Plasmid_Time_COV,0.0007579780937644453
Plasmid_Random_COV,0.00018526242884565344
Virulence_Stress_COV,-0.00048549200876568704
Virulence_Background_COV,-0.00012659873853623877
Virulence_Time_COV,0.00017109677161684448
Virulence_Random_COV,0.0006448683664481832
Stress_Background_COV,1.0914050638189745e-05
Stress_Time_COV,0.00021241582350685776
Stress_Random_COV,-0.0005610499424174954
Background_Time_COV,-0.0007123223165677056
Background_Random_COV,0.0013220627846177646
Time_Random_COV,-0.0008615454203562459
TOTAL,0.040823901010891964
TOTAL_DIRECT,
TOTAL_SUMMED,0.040823901010891984
LINEAR_AVG_FIT,0.4646059355958272
LINEAR_VAR_FIT,0.04056052100437005
TOTAL_NO_COV,0.03377120612482497
FRAC_AMR,0.15632902244940738
FRAC_PLASMID,0.02420343904206054
FRAC_VIRULENCE,0.010769748671098318
FRAC_STRESS,0.011524666961280221
FRAC_BACKGROUND,0.003909124567510356
FRAC_TIME,0.35843112787873654
FRAC_RANDOM,0.43483287042990676
