,0
n,0
Col_PLASMID,0.0006792943368428662
IncB_PLASMID,0.0
IncC_PLASMID,3.893648678988861e-11
IncFIA_PLASMID,2.7588250042669525e-07
IncFIB_PLASMID,0.0
IncFII_PLASMID,7.639594368924291e-05
IncI_PLASMID,0.0
IncN_PLASMID,0.0
IncQ_PLASMID,8.686121973459718e-12
IncX_PLASMID,0.0
IncY_PLASMID,0.0
aac_AMR,2.7302620430516557e-05
aap_VIR,3.2190604389299623e-12
amp_AMR,0.0
ant_AMR,1.6230827891513914e-12
aph_AMR,6.341510103169995e-07
arr_AMR,0.0
ast_VIR,0.0
blaCMY_AMR,0.0
blaCTX-M-14_AMR,0.0
blaCTX-M-15_AMR,2.594885139897519e-05
blaCTX-M-27_AMR,0.0
blaCTX-M_AMR,0.0
blaKPC_AMR,0.0
blaOXA_AMR,0.0
blaTEM_AMR,7.738111383698715e-37
cap_VIR,0.0
cat_AMR,6.606224831776898e-11
cml_AMR,4.9662388859761635e-12
cva_VIR,0.0
dfr_AMR,1.6715653284785353e-07
emr_STRESS,1.2380978213917944e-35
erm_AMR,0.0
fde_VIR,0.0
glp_AMR,1.2380978213917944e-35
gyr_AMR,0.004345935804810331
ibe_VIR,0.0
iha_VIR,5.734468797145192e-12
ire_VIR,0.0
iro_VIR,0.0
iss_VIR,9.562758026076199e-05
iuc_VIR,4.952391285567177e-35
iut_VIR,0.0
mch_VIR,0.0
mdt_AMR,0.0003517415097446016
mer_STRESS,0.00038819655762183596
mph_AMR,1.3131979085938473e-12
p0111_PLASMID,0.0
pap_VIR,3.8082126528980856e-15
par_AMR,4.952391285567177e-35
pmr_AMR,0.0
qnr_AMR,0.0
sat_AMR,0.0
sat_VIR,0.00029049022810967597
sen_VIR,4.805186357916257e-13
sfa_VIR,0.0
ssl_VIR,9.783586808879787e-05
sul_AMR,2.7170260141446476e-05
tet(A)_AMR,5.6374585933739095e-05
tet(B)_AMR,0.0002500764136233937
ymg_STRESS,3.095244553479486e-36
blood_META,2.9051293974003035e-05
PRJNA248737_META,0.0
PRJNA278886_META,2.3052023743435181e-07
PRJNA288601_META,0.0
PRJNA381936_META,0.0
PRJNA448593_META,0.0
PRJNA475142_META,6.245400085128226e-12
PRJNA475751_META,0.0
PRJNA530580_META,0.0
PRJNA530794_META,0.0
PRJNA578285_META,0.0
PRJNA592372_META,0.0
PRJNA658369_META,0.0
PRJNA809394_META,8.207004761772644e-05
PRJNA824420_META,0.0
PRJNA836696_META,0.0
aad-qac_AMR,3.219747907882334e-06
cnf-hly_VIR,0.0006271324390245699
blaNDM-ble_AMR,0.0
trx-kef-psi_STRESS,0.0
agg-aar-aat_VIR,5.785928651628694e-14
afa-nfa_VIR,0.00023339452714248214
time_fitness,0.006874843763380667
random_fitness,0.0336037722834584
AMR,0.004300395044881296
Plasmid Replicon,0.0008927797003025706
Virulence,0.000915027122706054
Stress,0.00038819655762183596
Background,0.00015521283349607162
Time,0.006874843763380667
Random,0.0336037722834584
AMR_MULT_FITNESS,1.022735545275157
Plasmid Replicon_MULT_FITNESS,1.038058333307137
Virulence_MULT_FITNESS,1.2048153582543624
Stress_MULT_FITNESS,1.0469754802157671
Background_MULT_FITNESS,0.9934485440493724
Time_MULT_FITNESS,1.0372359130255033
Random_MULT_FITNESS,1.0135402714237456
AMR_Plasmid Replicon_COV,0.003530773929002756
AMR_Virulence_COV,-0.0009542334022951077
AMR_Stress_COV,0.0018185000145362772
AMR_Background_COV,8.670948864332509e-05
AMR_Time_COV,0.001552836054326178
AMR_Random_COV,-0.00887130565445993
Plasmid Replicon_Virulence_COV,5.046853557563913e-05
Plasmid Replicon_Stress_COV,0.0007537525135787732
Plasmid Replicon_Background_COV,-5.455762814638114e-05
Plasmid Replicon_Time_COV,0.0009799027112294039
Plasmid Replicon_Random_COV,-0.002920894478772153
Virulence_Stress_COV,-0.0007105211734182974
Virulence_Background_COV,-0.00021023235204244245
Virulence_Time_COV,0.00028651596146478544
Virulence_Random_COV,0.003513766540297224
Stress_Background_COV,8.986631685484108e-05
Stress_Time_COV,0.00033303085272990676
Stress_Random_COV,-0.002713555767953354
Background_Time_COV,-0.000639633787096938
Background_Random_COV,0.0015930619960879324
Time_Random_COV,0.0013971874531737143
TOTAL,0.04604166542916305
TOTAL_DIRECT,
TOTAL_SUMMED,0.046041665429163055
LINEAR_AVG_FIT,0.33550057279988704
LINEAR_VAR_FIT,0.044762730278352966
TOTAL_NO_COV,0.0471302273058469
FRAC_AMR,0.09124494598709046
FRAC_PLASMID REPLICON,0.018942826108369178
FRAC_VIRULENCE,0.01941486759162176
FRAC_STRESS,0.008236679087131773
FRAC_BACKGROUND,0.0032932757249149987
FRAC_TIME,0.14586909837644227
FRAC_RANDOM,0.7129983071244295
