,0
n,1
Col_PLASMID,0.000714705452495494
IncB_PLASMID,0.0
IncC_PLASMID,4.595351569432311e-12
IncFIA_PLASMID,5.961008460958971e-07
IncFIB_PLASMID,6.010376268618803e-12
IncFII_PLASMID,4.371275334235862e-05
IncI_PLASMID,0.00014204285267239202
IncN_PLASMID,1.392885238918766e-06
IncQ_PLASMID,0.0
IncX_PLASMID,0.00011826292705225559
IncY_PLASMID,1.1086138494839363e-05
aac_AMR,6.715712230773068e-06
aap_VIR,0.0
amp_AMR,3.602304186711375e-05
ant_AMR,1.9155904030823985e-13
aph_AMR,3.9821832720068354e-07
arr_AMR,0.0
ast_VIR,3.9165859299915565e-07
blaCMY_AMR,0.0
blaCTX-M-14_AMR,0.0
blaCTX-M-15_AMR,1.0248087645876805e-05
blaCTX-M-27_AMR,0.0005427811165460994
blaCTX-M_AMR,6.915132465908702e-14
blaKPC_AMR,9.248921051673724e-13
blaOXA_AMR,5.471112313376111e-05
blaTEM_AMR,2.845678216285565e-06
cap_VIR,0.0
cat_AMR,1.0246015975217035e-11
cml_AMR,5.861241098098529e-13
cva_VIR,0.0
dfr_AMR,2.198587518030689e-07
emr_STRESS,1.211422280724343e-35
erm_AMR,1.311784832989212e-15
fde_VIR,9.467180458937454e-05
glp_AMR,1.211422280724343e-35
gyr_AMR,0.0
ibe_VIR,0.0
iha_VIR,1.2758305483827067e-12
ire_VIR,1.4976890579863117e-15
iro_VIR,0.0
iss_VIR,7.694555995305147e-05
iuc_VIR,9.343541468225144e-05
iut_VIR,1.8510889802728426e-15
mch_VIR,2.5591879235360648e-05
mdt_AMR,0.0
mer_STRESS,7.729003663843935e-05
mph_AMR,8.169701585782387e-13
p0111_PLASMID,1.1032001438887723e-14
pap_VIR,4.013194456873838e-15
par_AMR,4.845689122897372e-35
pmr_AMR,1.6636353342466867e-39
qnr_AMR,1.985198998986783e-06
sat_AMR,0.0
sat_VIR,6.462957950237548e-05
sen_VIR,5.055677199108054e-13
sfa_VIR,3.0602083814334403e-13
ssl_VIR,0.0
sul_AMR,0.0001401777752520487
tet(A)_AMR,0.00030758813765708893
tet(B)_AMR,0.0
ymg_STRESS,0.0
blood_META,3.012668610931601e-05
PRJNA248737_META,0.0
PRJNA278886_META,1.6316987041569802e-07
PRJNA288601_META,0.0016658982242727335
PRJNA381936_META,0.0
PRJNA448593_META,0.0
PRJNA475142_META,0.0
PRJNA475751_META,0.0002777294223186844
PRJNA530580_META,0.0
PRJNA530794_META,8.649816187226052e-06
PRJNA578285_META,0.001373870107532235
PRJNA592372_META,0.0
PRJNA658369_META,9.770978317356675e-05
PRJNA809394_META,3.570561619458485e-05
PRJNA824420_META,0.00019784650979354495
PRJNA836696_META,3.227353808774062e-05
aad-qac_AMR,4.744816660570397e-06
cnf-hly_VIR,7.813709919405968e-05
blaNDM-ble_AMR,4.571841769412042e-06
trx-kef-psi_STRESS,0.0
agg-aar-aat_VIR,0.0
afa-nfa_VIR,1.1488243868727754e-05
time_fitness,0.00990307044354327
random_fitness,0.031143946762212764
AMR,0.0007798885781130064
Plasmid Replicon,0.0011478043822639853
Virulence,0.00031764641035537597
Stress,7.729003663843935e-05
Background,0.0038068850745089098
Time,0.00990307044354327
Random,0.031143946762212764
AMR_MULT_FITNESS,1.2744974739112782
Plasmid Replicon_MULT_FITNESS,1.0619754879261278
Virulence_MULT_FITNESS,1.0999070656941692
Stress_MULT_FITNESS,1.0329705011115005
Background_MULT_FITNESS,0.988988846354434
Time_MULT_FITNESS,1.0648928563550975
Random_MULT_FITNESS,1.0530207415382775
AMR_Plasmid Replicon_COV,0.00018042620573373874
AMR_Virulence_COV,-6.564632407771978e-05
AMR_Stress_COV,-0.00019475040620781583
AMR_Background_COV,0.0005261650416162657
AMR_Time_COV,-0.00025532446344161557
AMR_Random_COV,-0.000803944953186932
Plasmid Replicon_Virulence_COV,-8.799510968017632e-05
Plasmid Replicon_Stress_COV,9.46727711455965e-05
Plasmid Replicon_Background_COV,0.0014218953708557635
Plasmid Replicon_Time_COV,-0.00018419277064452125
Plasmid Replicon_Random_COV,0.000745400157152643
Virulence_Stress_COV,-3.442289766829292e-05
Virulence_Background_COV,-6.949898530859772e-05
Virulence_Time_COV,0.00013757207432493437
Virulence_Random_COV,-0.0002457299437058301
Stress_Background_COV,-4.2427129594102294e-05
Stress_Time_COV,-3.2838728053758475e-05
Stress_Random_COV,0.00017637641453968232
Background_Time_COV,-0.003111437967993437
Background_Random_COV,0.008974804085099212
Time_Random_COV,0.004733071943706515
TOTAL,0.0590387060722473
TOTAL_DIRECT,
TOTAL_SUMMED,0.05903870607224731
LINEAR_AVG_FIT,0.5338120231632252
LINEAR_VAR_FIT,0.05866266335841133
TOTAL_NO_COV,0.04717653168763575
FRAC_AMR,0.01653128261477101
FRAC_PLASMID REPLICON,0.024329986567554467
FRAC_VIRULENCE,0.006733144616449757
FRAC_STRESS,0.0016383153630324184
FRAC_BACKGROUND,0.08069446689542539
FRAC_TIME,0.20991518641330545
FRAC_RANDOM,0.6601576175294616
