,0
Col_PLASMID,0.0007393108493296539
IncB_PLASMID,0.0001224259360487147
IncC_PLASMID,2.1703487581383435e-11
IncFIA_PLASMID,5.498698120579161e-07
IncFIB_PLASMID,2.807661834565985e-12
IncFII_PLASMID,8.65374997600059e-05
IncI_PLASMID,4.2490782644679115e-05
IncN_PLASMID,2.1876790012088962e-05
IncQ_PLASMID,0.0
IncX_PLASMID,0.00015109818340101967
IncY_PLASMID,6.421421549793921e-05
aac_AMR,5.247293835155179e-05
aap_VIR,0.0
amp_AMR,1.7773832865165426e-05
ant_AMR,0.0
aph_AMR,5.921928695995459e-07
arr_AMR,2.202003235603497e-12
ast_VIR,4.232148927486564e-08
blaCMY_AMR,5.125399060618108e-15
blaCTX-M-14_AMR,6.383537449275126e-14
blaCTX-M-15_AMR,1.5152265508317167e-05
blaCTX-M-27_AMR,0.00013104960087276593
blaCTX-M_AMR,1.1940990336082973e-14
blaKPC_AMR,1.1319842038573902e-12
blaOXA_AMR,6.742466234847503e-05
blaTEM_AMR,2.839449646000575e-06
cap_VIR,0.0
cat_AMR,1.6066107756284905e-11
cml_AMR,5.604035437496419e-13
cva_VIR,0.0
dfr_AMR,2.8828124756477495e-07
emr_STRESS,6.814541070049853e-07
erm_AMR,0.0
fde_VIR,6.985618883575667e-05
glp_AMR,1.0837781327675415e-34
gyr_AMR,7.706866721902517e-34
ibe_VIR,0.0
iha_VIR,2.3838472396864094e-12
ire_VIR,0.0
iro_VIR,0.0
iss_VIR,6.609080499482568e-05
iuc_VIR,0.000176739434541127
iut_VIR,3.007943632663898e-15
mch_VIR,0.0
mdt_AMR,4.816791701189073e-35
mer_STRESS,6.460222801351707e-05
mph_AMR,1.196679961344945e-12
p0111_PLASMID,0.0
pap_VIR,4.065873988596695e-15
par_AMR,1.9267166804756293e-34
pmr_AMR,8.634704366482729e-11
qnr_AMR,3.6743418554170502e-06
sat_AMR,1.7683949864927655e-15
sat_VIR,0.00011166699538514673
sen_VIR,5.257355754201771e-13
sfa_VIR,0.0
ssl_VIR,0.0
sul_AMR,0.00024440279748232135
tet(A)_AMR,0.00042209985440193706
tet(B)_AMR,3.7548420837318146e-05
ymg_STRESS,4.308775216504693e-06
blood_META,2.1300489291329356e-05
PRJNA248737_META,0.0007490291492704517
PRJNA278886_META,2.999431555095359e-08
PRJNA288601_META,0.001006343338481063
PRJNA381936_META,0.00041456259078339247
PRJNA448593_META,1.507970381514456e-14
PRJNA475142_META,0.0
PRJNA475751_META,6.859415077004555e-05
PRJNA530580_META,2.291328957087868e-13
PRJNA530794_META,1.2331508710578327e-05
PRJNA578285_META,0.0017920423194904504
PRJNA592372_META,0.00033580106352051414
PRJNA658369_META,8.46663846869506e-05
PRJNA809394_META,7.970780739777426e-05
PRJNA824420_META,6.896383491211087e-05
PRJNA836696_META,1.7689487921523388e-05
aad-qac_AMR,6.449756614731604e-06
cnf-hly_VIR,5.9929772238454655e-05
blaNDM-ble_AMR,9.925321351239245e-07
trx-kef-psi_STRESS,4.305890767850787e-06
agg-aar-aat_VIR,0.0
afa-nfa_VIR,4.3314252729619336e-05
time_fitness,0.011907530998761693
random_fitness,0.029779590584323574
AMR,0.0006046722288339415
Plasmid,0.0011440114819618985
Virulence,0.0003786746124550285
Stress,7.389094566109826e-05
Background,0.005220561354964032
Time,0.011907530998761693
Random,0.029779590584323574
AMR_MULT_FITNESS,1.1877431801479756
Plasmid_MULT_FITNESS,1.054214458916528
Virulence_MULT_FITNESS,1.1016253547436252
Stress_MULT_FITNESS,1.0327436919149238
Background_MULT_FITNESS,1.014150870059542
Time_MULT_FITNESS,1.1033504784541792
Random_MULT_FITNESS,1.0604202589497052
AMR_Plasmid_COV,-2.9027711534687942e-05
AMR_Virulence_COV,-0.0001712589451903473
AMR_Stress_COV,-5.480820448231473e-05
AMR_Background_COV,-0.0005920929353785464
AMR_Time_COV,0.0009667630840361409
AMR_Random_COV,-0.0004798650173219781
Plasmid_Virulence_COV,4.033012974165258e-06
Plasmid_Stress_COV,7.602766609797804e-05
Plasmid_Background_COV,-0.0007578034788052589
Plasmid_Time_COV,0.000288451141185973
Plasmid_Random_COV,-0.0021057794673424155
Virulence_Stress_COV,6.392316808518739e-06
Virulence_Background_COV,0.0001710028073047265
Virulence_Time_COV,-0.00025622832480365733
Virulence_Random_COV,0.0004082105625214821
Stress_Background_COV,-4.3388805155203033e-05
Stress_Time_COV,3.110226873039352e-05
Stress_Random_COV,-0.00018062276457314876
Background_Time_COV,-0.006973778176599445
Background_Random_COV,0.003644600395764023
Time_Random_COV,0.0035265875317731757
TOTAL,0.046587449162970807
TOTAL_DIRECT,
TOTAL_SUMMED,0.04658744916297082
LINEAR_AVG_FIT,0.5249250651934071
LINEAR_VAR_FIT,0.04656842611308808
TOTAL_NO_COV,0.04910893220696126
FRAC_AMR,0.012312876734636644
FRAC_PLASMID,0.02329538498496885
FRAC_VIRULENCE,0.007710911140547072
FRAC_STRESS,0.0015046335226695095
FRAC_BACKGROUND,0.106305739513188
FRAC_TIME,0.2424717961404541
FRAC_RANDOM,0.6063986579635359
