,0
n,0
Col_PLASMID,0.0
IncB_PLASMID,0.0
IncC_PLASMID,0.0
IncFIA_PLASMID,0.0
IncFIB_PLASMID,0.0
IncFII_PLASMID,0.0
IncI_PLASMID,0.0
IncN_PLASMID,0.0
IncQ_PLASMID,0.0
IncX_PLASMID,0.0
IncY_PLASMID,0.0
aac_AMR,0.0
aap_VIR,0.0
amp_AMR,0.0
ant_AMR,0.0
aph_AMR,0.0
arr_AMR,0.0
ast_VIR,0.0
blaCMY_AMR,0.0
blaCTX-M-14_AMR,0.0
blaCTX-M-15_AMR,0.0
blaCTX-M-27_AMR,0.0
blaCTX-M_AMR,0.0
blaKPC_AMR,0.0
blaOXA_AMR,0.0
blaTEM_AMR,0.0
cap_VIR,0.0
cat_AMR,0.0
cml_AMR,0.0
cva_VIR,0.0
dfr_AMR,0.0
emr_STRESS,0.0
erm_AMR,0.0
fde_VIR,0.0
glp_AMR,0.0
gyr_AMR,0.0
ibe_VIR,0.0
iha_VIR,0.0
ire_VIR,0.0
iro_VIR,0.0
iss_VIR,0.0
iuc_VIR,0.0
iut_VIR,0.0
mch_VIR,0.0
mdt_AMR,0.0
mer_STRESS,0.0
mph_AMR,0.0
p0111_PLASMID,0.0
pap_VIR,0.0
par_AMR,0.0
pmr_AMR,0.0
qnr_AMR,0.0
sat_AMR,0.0
sat_VIR,0.0
sen_VIR,0.0
sfa_VIR,0.0
ssl_VIR,0.0
sul_AMR,0.0
tet(A)_AMR,0.0
tet(B)_AMR,0.0
ymg_STRESS,0.0
blood_META,0.0
PRJNA248737_META,0.0
PRJNA278886_META,0.0
PRJNA288601_META,0.0
PRJNA381936_META,0.0
PRJNA448593_META,0.0
PRJNA475142_META,0.0
PRJNA475751_META,0.0
PRJNA530580_META,0.0
PRJNA530794_META,0.0
PRJNA578285_META,0.0
PRJNA592372_META,0.0
PRJNA658369_META,0.0
PRJNA809394_META,0.0
PRJNA824420_META,0.0
PRJNA836696_META,0.0
aad-qac_AMR,0.0
cnf-hly_VIR,0.0
blaNDM-ble_AMR,0.0
trx-kef-psi_STRESS,0.0
agg-aar-aat_VIR,0.0
afa-nfa_VIR,0.0
time_fitness,1.758954814588709e-12
random_fitness,1.5269146364307116e-07
AMR,0.0
Plasmid Replicon,0.0
Virulence,0.0
Stress,0.0
Background,0.0
Time,1.758954814588709e-12
Random,1.5269146364307116e-07
AMR_MULT_FITNESS,1.2222552929005086
Plasmid Replicon_MULT_FITNESS,1.0526927595381803
Virulence_MULT_FITNESS,1.13806857238821
Stress_MULT_FITNESS,1.0308750711858683
Background_MULT_FITNESS,1.1146539631216967
Time_MULT_FITNESS,0.9999969627368488
Random_MULT_FITNESS,1.0040615526077716
AMR_Plasmid Replicon_COV,0.0
AMR_Virulence_COV,0.0
AMR_Stress_COV,0.0
AMR_Background_COV,0.0
AMR_Time_COV,0.0
AMR_Random_COV,0.0
Plasmid Replicon_Virulence_COV,0.0
Plasmid Replicon_Stress_COV,0.0
Plasmid Replicon_Background_COV,0.0
Plasmid Replicon_Time_COV,0.0
Plasmid Replicon_Random_COV,0.0
Virulence_Stress_COV,0.0
Virulence_Background_COV,0.0
Virulence_Time_COV,0.0
Virulence_Random_COV,0.0
Stress_Background_COV,0.0
Stress_Time_COV,0.0
Stress_Random_COV,0.0
Background_Time_COV,0.0
Background_Random_COV,0.0
Time_Random_COV,-1.0364890450392166e-09
TOTAL,1.5165673355284652e-07
TOTAL_DIRECT,
TOTAL_SUMMED,1.5165673355284652e-07
LINEAR_AVG_FIT,0.5243840824984791
LINEAR_VAR_FIT,7.582836677643819e-08
TOTAL_NO_COV,1.5269322259788574e-07
FRAC_AMR,0.0
FRAC_PLASMID REPLICON,0.0
FRAC_VIRULENCE,0.0
FRAC_STRESS,0.0
FRAC_BACKGROUND,0.0
FRAC_TIME,1.1519534296691596e-05
FRAC_RANDOM,0.9999884804657033
