,0
n,9380
Col_PLASMID,0.0007430379400854353
IncB_PLASMID,5.1356574165292447e-05
IncC_PLASMID,8.437521296372643e-12
IncFIA_PLASMID,2.3691824159303094e-06
IncFIB_PLASMID,6.003394429358982e-12
IncFII_PLASMID,0.00011018821912483753
IncI_PLASMID,5.938499612082342e-05
IncN_PLASMID,1.109915251373588e-05
IncQ_PLASMID,7.227411331416904e-13
IncX_PLASMID,7.782175962541137e-05
IncY_PLASMID,3.55054800514583e-05
aac_AMR,6.284194534765239e-05
aap_VIR,1.3857934644238578e-13
amp_AMR,8.513466742223058e-06
ant_AMR,1.4042888587913593e-13
aph_AMR,5.073466428282449e-07
arr_AMR,5.96288282724565e-13
ast_VIR,8.436973464377013e-07
blaCMY_AMR,8.237313923446155e-15
blaCTX-M-14_AMR,2.0525672007328125e-14
blaCTX-M-15_AMR,6.834263833361103e-05
blaCTX-M-27_AMR,0.00042448043627566536
blaCTX-M_AMR,2.368768131344419e-14
blaKPC_AMR,7.002369309768295e-13
blaOXA_AMR,0.00021104456507162412
blaTEM_AMR,4.455534727650723e-06
cap_VIR,1.2291591679706209e-14
cat_AMR,6.668129684210841e-11
cml_AMR,6.429986090683925e-13
cva_VIR,0.00017233904333505858
dfr_AMR,2.888331474782489e-07
emr_STRESS,1.101369601135041e-06
erm_AMR,3.2623794792686116e-15
fde_VIR,3.600744726615969e-05
glp_AMR,3.5357943594579527e-06
gyr_AMR,0.0036655764365103377
ibe_VIR,1.460945543914878e-12
iha_VIR,2.7209038958316883e-12
ire_VIR,1.4576805714298074e-15
iro_VIR,0.00014026627816617665
iss_VIR,0.00013828651711947422
iuc_VIR,0.00020750586353715793
iut_VIR,3.788310094379308e-15
mch_VIR,9.992285397386829e-05
mdt_AMR,0.0003347256287544767
mer_STRESS,0.00014212875501789837
mph_AMR,1.274544928329895e-12
p0111_PLASMID,5.6319221022753366e-15
pap_VIR,4.155899392762934e-15
par_AMR,6.0457450773763843e-05
pmr_AMR,4.9984066154998266e-11
qnr_AMR,1.8601945543769427e-06
sat_AMR,8.767736020052164e-16
sat_VIR,0.00016146875058940322
sen_VIR,5.25056572119767e-13
sfa_VIR,1.3189819517238333e-13
ssl_VIR,2.998301307411774e-05
sul_AMR,0.00023920345812500333
tet(A)_AMR,0.00048576459220663976
tet(B)_AMR,0.00012629399285000694
ymg_STRESS,3.0373987328523375e-06
blood_META,2.0119406425230732e-05
PRJNA248737_META,0.0003674539303829119
PRJNA278886_META,8.30414329580891e-08
PRJNA288601_META,0.0011901406757521776
PRJNA381936_META,0.00032864285174053436
PRJNA448593_META,3.4589579624356813e-14
PRJNA475142_META,8.826593551100409e-13
PRJNA475751_META,0.00013447700650140942
PRJNA530580_META,1.8059934671626098e-12
PRJNA530794_META,9.341038161492208e-06
PRJNA578285_META,0.0014820444293687607
PRJNA592372_META,0.00018216106278451795
PRJNA658369_META,9.054256652932652e-05
PRJNA809394_META,7.053470663031001e-05
PRJNA824420_META,8.881601469286083e-05
PRJNA836696_META,1.2004716450993412e-05
aad-qac_AMR,6.506773568294678e-06
cnf-hly_VIR,0.0008199940529995578
blaNDM-ble_AMR,2.334293168248781e-06
trx-kef-psi_STRESS,8.01838687174975e-07
agg-aar-aat_VIR,2.0913711265270463e-15
afa-nfa_VIR,0.0001724530582138628
time_fitness,0.009427875924344544
random_fitness,0.02485988667678069
AMR,0.006721628483296685
Plasmid Replicon,0.0012637515611797715
Virulence,0.0014782638646800598
Stress,0.0001470053908564788
Background,0.004362659585548315
Time,0.009427875924344544
Random,0.02485988667678069
AMR_MULT_FITNESS,1.1483277769999638
Plasmid Replicon_MULT_FITNESS,1.0498705655822074
Virulence_MULT_FITNESS,1.1143992086436159
Stress_MULT_FITNESS,1.0347333285078233
Background_MULT_FITNESS,1.004679072307704
Time_MULT_FITNESS,1.0604063301014022
Random_MULT_FITNESS,1.0446386299485038
AMR_Plasmid Replicon_COV,0.0002762476334563055
AMR_Virulence_COV,0.00048372643652176315
AMR_Stress_COV,-0.0003987358583913857
AMR_Background_COV,0.00047040682319438026
AMR_Time_COV,0.002545130784633282
AMR_Random_COV,0.0004496332283017569
Plasmid Replicon_Virulence_COV,6.418794429814273e-05
Plasmid Replicon_Stress_COV,4.058452122263006e-05
Plasmid Replicon_Background_COV,-0.0004046577108140705
Plasmid Replicon_Time_COV,0.0007467176870682335
Plasmid Replicon_Random_COV,-0.00045978386988054304
Virulence_Stress_COV,8.062893836831732e-05
Virulence_Background_COV,1.4246855668099484e-05
Virulence_Time_COV,0.0006978819294011943
Virulence_Random_COV,0.000768479663228836
Stress_Background_COV,-0.000139310956884859
Stress_Time_COV,2.796851423394374e-05
Stress_Random_COV,-0.00015063894985512902
Background_Time_COV,-0.003697391819376783
Background_Random_COV,0.0019517190051259177
Time_Random_COV,0.007082681629847955
TOTAL,0.05871079391605455
TOTAL_DIRECT,
TOTAL_SUMMED,0.05871079391605454
LINEAR_AVG_FIT,0.43642417752608614
LINEAR_VAR_FIT,0.058704534769581616
TOTAL_NO_COV,0.04826107148668655
FRAC_AMR,0.13927640386415654
FRAC_PLASMID REPLICON,0.026185733599561584
FRAC_VIRULENCE,0.03063056453456195
FRAC_STRESS,0.0030460449038524177
FRAC_BACKGROUND,0.0903970726541331
FRAC_TIME,0.19535156667512754
FRAC_RANDOM,0.5151126137686068
FRAC_MODEL,0.48488738623139316
FRAC_GENETIC,0.19913874690213249
FRAC_BGTIME,0.28574863932926065
