,0
n,89
Col_PLASMID,0.000743300422595235
IncB_PLASMID,5.448853830455521e-05
IncC_PLASMID,9.14619534956604e-12
IncFIA_PLASMID,2.359307211984242e-06
IncFIB_PLASMID,6.045392255808248e-12
IncFII_PLASMID,0.00011108000471138735
IncI_PLASMID,6.231968436452815e-05
IncN_PLASMID,1.1202703301172976e-05
IncQ_PLASMID,7.417947626459838e-13
IncX_PLASMID,7.8422753090506e-05
IncY_PLASMID,3.2895800006618706e-05
aac_AMR,6.313762795636711e-05
aap_VIR,1.2455099321829998e-13
amp_AMR,7.43473215784913e-06
ant_AMR,1.337376078852937e-13
aph_AMR,5.151846778727902e-07
arr_AMR,6.242694280230488e-13
ast_VIR,8.860333946511202e-07
blaCMY_AMR,8.94818159532322e-15
blaCTX-M-14_AMR,2.2657462224652062e-14
blaCTX-M-15_AMR,6.852347012921276e-05
blaCTX-M-27_AMR,0.0004401758015548868
blaCTX-M_AMR,2.4397787043206407e-14
blaKPC_AMR,7.768842822270465e-13
blaOXA_AMR,0.00021539311533421638
blaTEM_AMR,4.45833900737327e-06
cap_VIR,1.1164610383794651e-14
cat_AMR,6.748784341074671e-11
cml_AMR,6.630937702989377e-13
cva_VIR,0.00017409878679519402
dfr_AMR,2.886678145504747e-07
emr_STRESS,1.1162583478556947e-06
erm_AMR,3.614026332571387e-15
fde_VIR,3.562108729735707e-05
glp_AMR,4.238902416818066e-06
gyr_AMR,0.0036143086646826766
ibe_VIR,1.4435264193193363e-12
iha_VIR,2.722590909040745e-12
ire_VIR,1.5000519213214178e-15
iro_VIR,0.00014005261371977348
iss_VIR,0.00013781725033243776
iuc_VIR,0.00020218956357732432
iut_VIR,3.758211509760293e-15
mch_VIR,0.00010055338218065428
mdt_AMR,0.00032949299389254647
mer_STRESS,0.000146400238684147
mph_AMR,1.2775556672769093e-12
p0111_PLASMID,5.800755011730663e-15
pap_VIR,4.149429355043399e-15
par_AMR,6.0390881074454006e-05
pmr_AMR,4.365062497743326e-11
qnr_AMR,2.072196820261865e-06
sat_AMR,9.896111595609824e-16
sat_VIR,0.00015902883497485057
sen_VIR,5.250583071919475e-13
sfa_VIR,1.3178432983473072e-13
ssl_VIR,2.978145704887348e-05
sul_AMR,0.0002386098755366493
tet(A)_AMR,0.0004900191667475182
tet(B)_AMR,0.0001257531662598238
ymg_STRESS,3.2093656864639487e-06
blood_META,1.965776793195107e-05
PRJNA248737_META,0.00040656552357941394
PRJNA278886_META,8.667222653459669e-08
PRJNA288601_META,0.0012245655267779415
PRJNA381936_META,0.00026899497877001674
PRJNA448593_META,3.4906323039068847e-14
PRJNA475142_META,8.532503257006169e-13
PRJNA475751_META,0.00013009060437269165
PRJNA530580_META,1.8501417122483943e-12
PRJNA530794_META,9.03502475332045e-06
PRJNA578285_META,0.001576653441533038
PRJNA592372_META,0.00020475426930559302
PRJNA658369_META,9.883909976485667e-05
PRJNA809394_META,6.933114958551709e-05
PRJNA824420_META,8.253529440308379e-05
PRJNA836696_META,1.072665970568008e-05
aad-qac_AMR,6.504736290474587e-06
cnf-hly_VIR,0.0008190535661260489
blaNDM-ble_AMR,2.3854073575320713e-06
trx-kef-psi_STRESS,6.376193804106302e-07
agg-aar-aat_VIR,1.868717723081587e-15
afa-nfa_VIR,0.00016900450746939498
time_fitness,0.010221859246313454
random_fitness,0.02456333068956541
AMR,0.006668922259472106
Plasmid Replicon,0.0012715020314783988
Virulence,0.0014665965119306287
Stress,0.0001510545747355268
Background,0.004517782191166521
Time,0.010221859246313454
Random,0.02456333068956541
AMR_MULT_FITNESS,1.1498392787946898
Plasmid Replicon_MULT_FITNESS,1.0496779063792636
Virulence_MULT_FITNESS,1.1142518884063173
Stress_MULT_FITNESS,1.034834328375212
Background_MULT_FITNESS,1.0064527952818685
Time_MULT_FITNESS,1.0693829426453134
Random_MULT_FITNESS,1.045104141431194
AMR_Plasmid Replicon_COV,0.00032904144870300826
AMR_Virulence_COV,0.0005688230229599621
AMR_Stress_COV,-0.0004187131794310356
AMR_Background_COV,0.0006421361464870566
AMR_Time_COV,0.0030464258780551535
AMR_Random_COV,0.0005506646292852222
Plasmid Replicon_Virulence_COV,6.359230780348726e-05
Plasmid Replicon_Stress_COV,4.283782886915186e-05
Plasmid Replicon_Background_COV,-0.00036205281380477815
Plasmid Replicon_Time_COV,0.000778154908059672
Plasmid Replicon_Random_COV,-0.0005739832077811347
Virulence_Stress_COV,7.649101470372966e-05
Virulence_Background_COV,8.350391195809406e-05
Virulence_Time_COV,0.000766118460469191
Virulence_Random_COV,0.0005996582154311545
Stress_Background_COV,-0.0001669895186065999
Stress_Time_COV,2.2038776411135414e-05
Stress_Random_COV,-0.0001786759547733562
Background_Time_COV,-0.004373106385118472
Background_Random_COV,0.002508132321972929
Time_Random_COV,0.0071819396528511395
TOTAL,0.060047084969166734
TOTAL_DIRECT,
TOTAL_SUMMED,0.060047084969166754
LINEAR_AVG_FIT,0.44816050410288283
LINEAR_VAR_FIT,0.060013576551215184
TOTAL_NO_COV,0.04886104750466204
FRAC_AMR,0.13648750078139024
FRAC_PLASMID REPLICON,0.026022815645879868
FRAC_VIRULENCE,0.03001565841974007
FRAC_STRESS,0.0030915132288376348
FRAC_BACKGROUND,0.09246183661403207
FRAC_TIME,0.20920262189094785
FRAC_RANDOM,0.5027180534191724
