,0
n,7
Col_PLASMID,0.0007433920963430125
IncB_PLASMID,5.43691071316841e-05
IncC_PLASMID,8.341905432326477e-12
IncFIA_PLASMID,2.375439878170702e-06
IncFIB_PLASMID,5.901771525437276e-12
IncFII_PLASMID,0.00010917961944218166
IncI_PLASMID,5.9097939436083124e-05
IncN_PLASMID,1.074340133350818e-05
IncQ_PLASMID,6.916075121414661e-13
IncX_PLASMID,7.396106042185566e-05
IncY_PLASMID,3.5515187401321737e-05
aac_AMR,6.266263133708072e-05
aap_VIR,1.4474432075195057e-13
amp_AMR,7.418229299878796e-06
ant_AMR,1.5003707251290358e-13
aph_AMR,5.091871732447862e-07
arr_AMR,6.228907961873402e-13
ast_VIR,8.206992116082768e-07
blaCMY_AMR,7.949944200921542e-15
blaCTX-M-14_AMR,1.9337967684416765e-14
blaCTX-M-15_AMR,6.851015365561787e-05
blaCTX-M-27_AMR,0.0004392987626811217
blaCTX-M_AMR,2.4343784223184184e-14
blaKPC_AMR,6.745792908080618e-13
blaOXA_AMR,0.00020928040672038526
blaTEM_AMR,4.458018099642245e-06
cap_VIR,1.2637727902442087e-14
cat_AMR,6.643387274571023e-11
cml_AMR,6.61626891818204e-13
cva_VIR,0.00016611656264715682
dfr_AMR,2.8853144747239616e-07
emr_STRESS,1.1137791974161355e-06
erm_AMR,3.0512870754434267e-15
fde_VIR,3.554246695782629e-05
glp_AMR,3.081180364852011e-06
gyr_AMR,0.0037007266387126775
ibe_VIR,1.4735414262213734e-12
iha_VIR,2.7078758612454203e-12
ire_VIR,1.4324838186667877e-15
iro_VIR,0.0001397608724276642
iss_VIR,0.00013655944870866787
iuc_VIR,0.00020941297049301892
iut_VIR,3.789299642377619e-15
mch_VIR,9.832215011549031e-05
mdt_AMR,0.0003381844124831799
mer_STRESS,0.00013974033717627636
mph_AMR,1.276922812575843e-12
p0111_PLASMID,5.308563138582459e-15
pap_VIR,4.125903569493144e-15
par_AMR,5.943529367141883e-05
pmr_AMR,4.974787255932256e-11
qnr_AMR,1.6462984081829534e-06
sat_AMR,7.193301883006226e-16
sat_VIR,0.00016054310788740883
sen_VIR,5.253846685066032e-13
sfa_VIR,1.3595282053759915e-13
ssl_VIR,2.9720918149905155e-05
sul_AMR,0.00023872179494261603
tet(A)_AMR,0.0004856399653803827
tet(B)_AMR,0.0001230417684820397
ymg_STRESS,2.888704289460776e-06
blood_META,2.0518233525184066e-05
PRJNA248737_META,0.00038744945909046995
PRJNA278886_META,7.964064406444892e-08
PRJNA288601_META,0.001198720122212877
PRJNA381936_META,0.00031523371310878865
PRJNA448593_META,3.6400973065868866e-14
PRJNA475142_META,9.305958563301337e-13
PRJNA475751_META,0.00014603413371568842
PRJNA530580_META,1.813585617493407e-12
PRJNA530794_META,9.01516354149997e-06
PRJNA578285_META,0.0015057720602777533
PRJNA592372_META,0.00014268558097778013
PRJNA658369_META,8.854228284538029e-05
PRJNA809394_META,6.93777984048806e-05
PRJNA824420_META,9.124079975370849e-05
PRJNA836696_META,1.1410077841109475e-05
aad-qac_AMR,6.4988678233421424e-06
cnf-hly_VIR,0.0008104735384804921
blaNDM-ble_AMR,2.323484932491715e-06
trx-kef-psi_STRESS,8.876939911817663e-07
agg-aar-aat_VIR,2.2337372433377336e-15
afa-nfa_VIR,0.0001749803761755603
time_fitness,0.007970164490874513
random_fitness,0.02444647796333378
AMR,0.0068142882466648794
Plasmid Replicon,0.0012605065095272002
Virulence,0.001470253632061348
Stress,0.00014460625334221887
Background,0.004384098993916689
Time,0.007970164490874513
Random,0.02444647796333378
AMR_MULT_FITNESS,1.1477014356828068
Plasmid Replicon_MULT_FITNESS,1.0500325572124896
Virulence_MULT_FITNESS,1.1143528141875465
Stress_MULT_FITNESS,1.0346770854559584
Background_MULT_FITNESS,1.0043833070659904
Time_MULT_FITNESS,1.0469944317396422
Random_MULT_FITNESS,1.0448400449002204
AMR_Plasmid Replicon_COV,0.00031238198986771734
AMR_Virulence_COV,0.0004707325728557586
AMR_Stress_COV,-0.00039092418654892546
AMR_Background_COV,0.0004284538633352453
AMR_Time_COV,0.002125904128819874
AMR_Random_COV,0.0004927503587128642
Plasmid Replicon_Virulence_COV,8.487837729334733e-05
Plasmid Replicon_Stress_COV,3.958330336518364e-05
Plasmid Replicon_Background_COV,-0.0004169489155734784
Plasmid Replicon_Time_COV,0.0006125104122666822
Plasmid Replicon_Random_COV,-0.0004270223957155885
Virulence_Stress_COV,7.716183244107523e-05
Virulence_Background_COV,-3.576584002475503e-05
Virulence_Time_COV,0.0006982713745306194
Virulence_Random_COV,0.0009802960526405307
Stress_Background_COV,-0.00012448965592737172
Stress_Time_COV,1.4810584103758658e-05
Stress_Random_COV,-0.00017017936726874326
Background_Time_COV,-0.0032941799007987983
Background_Random_COV,0.0025675397265633587
Time_Random_COV,0.005392837989967068
TOTAL,0.055928998394626055
TOTAL_DIRECT,
TOTAL_SUMMED,0.055928998394626034
LINEAR_AVG_FIT,0.4231066937293019
LINEAR_VAR_FIT,0.05589785752692303
TOTAL_NO_COV,0.04649039608972062
FRAC_AMR,0.1465741060479278
FRAC_PLASMID REPLICON,0.02711326672920964
FRAC_VIRULENCE,0.03162488934755349
FRAC_STRESS,0.0031104543197082463
FRAC_BACKGROUND,0.09430117535363494
FRAC_TIME,0.17143679471977605
FRAC_RANDOM,0.5258393134821899
