name,clade,changepoint,estimated_clade
root,B,B --> A (1862.1),B
n0,A,False,A
n00_interval1,A,False,A
n00_interval2,A,False,A
n00,A,False,A
n1,A,False,A
n11,A,False,A
n2,A,False,A
n22_interval3,A,False,A
n22,A,False,A
n3,A,False,A
n33_interval4,A,False,A
n33_interval5,A,False,A
n33,A,False,A
n4_interval6,A,False,A
n4_interval7,A,False,A
n4_interval8,A,False,A
n4,A,False,A
n44,A,False,A
n5_interval9,A,False,A
n5_interval10,A,False,A
n5_interval11,A,False,A
n5_interval12,A,False,A
n5,A,False,A
SAMN07450852_interval13,A,False,A
SAMN07450852_interval14,A,False,A
SAMN07450852_interval15,A,False,A
SAMN07450852_interval16,A,False,A
SAMN07450852_interval17,A,False,A
SAMN07450852_interval18,A,False,A
SAMN07450852_interval19,A,False,A
SAMN07450852,A,False,A
SAMN05510453_interval13,A,False,A
SAMN05510453_interval14,A,False,A
SAMN05510453_interval15,A,False,A
SAMN05510453_interval16,A,False,A
SAMN05510453,A,False,A
SAMN26304569_interval9,A,False,A
SAMN26304569_interval10,A,False,A
SAMN26304569_interval11,A,False,A
SAMN26304569_interval12,A,False,A
SAMN26304569_interval13,A,False,A
SAMN26304569_interval14,A,False,A
SAMN26304569_interval15,A,False,A
SAMN26304569_interval16,A,False,A
SAMN26304569_interval17,A,False,A
SAMN26304569_interval18,A,False,A
SAMN26304569_interval19,A,False,A
SAMN26304569_interval20,A,False,A
SAMN26304569_interval21,A,False,A
SAMN26304569_interval22,A,False,A
SAMN26304569_interval23,A,False,A
SAMN26304569_interval24,A,False,A
SAMN26304569_interval25,A,False,A
SAMN26304569,A,False,A
SAMN27407159_interval9,A,False,A
SAMN27407159_interval10,A,False,A
SAMN27407159_interval11,A,False,A
SAMN27407159_interval12,A,False,A
SAMN27407159_interval13,A,False,A
SAMN27407159_interval14,A,False,A
SAMN27407159_interval15,A,False,A
SAMN27407159_interval16,A,False,A
SAMN27407159_interval17,A,False,A
SAMN27407159_interval18,A,False,A
SAMN27407159_interval19,A,False,A
SAMN27407159_interval20,A,False,A
SAMN27407159_interval21,A,False,A
SAMN27407159_interval22,A,False,A
SAMN27407159_interval23,A,False,A
SAMN27407159_interval24,A,False,A
SAMN27407159_interval25,A,False,A
SAMN27407159_interval26,A,False,A
SAMN27407159,A,False,A
SAMN15868657_interval6,A,False,C0/C2
SAMN15868657_interval7,A,False,C0/C2
SAMN15868657_interval8,A,False,C0/C2
SAMN15868657_interval9,A,False,C0/C2
SAMN15868657_interval10,A,False,C0/C2
SAMN15868657_interval11,A,False,C0/C2
SAMN15868657_interval12,A,False,C0/C2
SAMN15868657_interval13,A,False,C0/C2
SAMN15868657_interval14,A,False,C0/C2
SAMN15868657_interval15,A,False,C0/C2
SAMN15868657_interval16,A,False,C0/C2
SAMN15868657_interval17,A,False,C0/C2
SAMN15868657_interval18,A,False,C0/C2
SAMN15868657,A,False,C0/C2
n55,A,False,A
n6_interval4,A,False,A
n6_interval5,A,False,A
n6_interval6,A,False,A
n6_interval7,A,False,A
n6,A,False,A
n66_interval8,A,False,A
n66_interval9,A,False,A
n66_interval10,A,False,A
n66_interval11,A,False,A
n66_interval12,A,False,A
n66_interval13,A,False,A
n66_interval14,A,False,A
n66_interval15,A,False,A
n66_interval16,A,False,A
n66_interval17,A,False,A
n66_interval18,A,False,A
n66_interval19,A,False,A
n66_interval20,A,False,A
n66_interval21,A,False,A
n66,A,False,A
n7_interval22,A,False,A
n7_interval23,A,False,A
n7_interval24,A,False,A
n7_interval25,A,False,A
n7,A,False,A
SAMN26308496,A,False,A
SAMN26308497,A,False,A
SAMN26308491_interval22,A,False,A
SAMN26308491_interval23,A,False,A
SAMN26308491_interval24,A,False,A
SAMN26308491_interval25,A,False,A
SAMN26308491,A,False,A
n77_interval8,A,False,A
n77_interval9,A,False,A
n77,A,False,A
n8_interval10,A,False,A
n8_interval11,A,False,A
n8_interval12,A,False,A
n8,A,False,A
n88_interval13,A,False,A
n88_interval14,A,False,A
n88_interval15,A,False,A
n88_interval16,A,False,A
n88_interval17,A,False,A
n88_interval18,A,False,A
n88_interval19,A,False,A
n88_interval20,A,False,A
n88_interval21,A,False,A
n88_interval22,A,False,A
n88_interval23,A,False,A
n88_interval24,A,False,A
n88_interval25,A,False,A
n88,A,False,A
SAMN31390129_interval26,A,False,A
SAMN31390129,A,False,A
SAMN31390130_interval26,A,False,A
SAMN31390130,A,False,A
SAMN09400839_interval13,A,False,A
SAMN09400839_interval14,A,False,A
SAMN09400839_interval15,A,False,A
SAMN09400839_interval16,A,False,A
SAMN09400839_interval17,A,False,A
SAMN09400839_interval18,A,False,A
SAMN09400839_interval19,A,False,A
SAMN09400839,A,False,A
n9,A,False,A
SAMN28174092_interval10,A,False,A
SAMN28174092_interval11,A,False,A
SAMN28174092_interval12,A,False,A
SAMN28174092_interval13,A,False,A
SAMN28174092_interval14,A,False,A
SAMN28174092_interval15,A,False,A
SAMN28174092_interval16,A,False,A
SAMN28174092_interval17,A,False,A
SAMN28174092_interval18,A,False,A
SAMN28174092_interval19,A,False,A
SAMN28174092_interval20,A,False,A
SAMN28174092_interval21,A,False,A
SAMN28174092_interval22,A,False,A
SAMN28174092_interval23,A,False,A
SAMN28174092_interval24,A,False,A
SAMN28174092,A,False,A
SAMN26366668_interval10,A,False,A
SAMN26366668_interval11,A,False,A
SAMN26366668_interval12,A,False,A
SAMN26366668_interval13,A,False,A
SAMN26366668_interval14,A,False,A
SAMN26366668_interval15,A,False,A
SAMN26366668_interval16,A,False,A
SAMN26366668_interval17,A,False,A
SAMN26366668_interval18,A,False,A
SAMN26366668_interval19,A,False,A
SAMN26366668_interval20,A,False,A
SAMN26366668_interval21,A,False,A
SAMN26366668_interval22,A,False,A
SAMN26366668_interval23,A,False,A
SAMN26366668_interval24,A,False,A
SAMN26366668_interval25,A,False,A
SAMN26366668_interval26,A,False,A
SAMN26366668,A,False,A
n99,A,False,A
n10,A,False,A
n1010,A,False,A
SAMN27404383_interval4,A,False,A
SAMN27404383_interval5,A,False,A
SAMN27404383_interval6,A,False,A
SAMN27404383_interval7,A,False,A
SAMN27404383_interval8,A,False,A
SAMN27404383_interval9,A,False,A
SAMN27404383_interval10,A,False,A
SAMN27404383_interval11,A,False,A
SAMN27404383_interval12,A,False,A
SAMN27404383_interval13,A,False,A
SAMN27404383_interval14,A,False,A
SAMN27404383_interval15,A,False,A
SAMN27404383_interval16,A,False,A
SAMN27404383_interval17,A,False,A
SAMN27404383_interval18,A,False,A
SAMN27404383_interval19,A,False,A
SAMN27404383_interval20,A,False,A
SAMN27404383,A,False,A
SAMN28174009_interval4,A,False,A
SAMN28174009_interval5,A,False,A
SAMN28174009_interval6,A,False,A
SAMN28174009_interval7,A,False,A
SAMN28174009_interval8,A,False,A
SAMN28174009_interval9,A,False,A
SAMN28174009_interval10,A,False,A
SAMN28174009_interval11,A,False,A
SAMN28174009_interval12,A,False,A
SAMN28174009_interval13,A,False,A
SAMN28174009_interval14,A,False,A
SAMN28174009_interval15,A,False,A
SAMN28174009_interval16,A,False,A
SAMN28174009_interval17,A,False,A
SAMN28174009_interval18,A,False,A
SAMN28174009,A,False,A
n1111,A,False,A
n12_interval4,A,False,A
n12_interval5,A,False,A
n12_interval6,A,False,A
n12_interval7,A,False,A
n12_interval8,A,False,A
n12_interval9,A,False,A
n12_interval10,A,False,A
n12_interval11,A,False,A
n12_interval12,A,False,A
n12_interval13,A,False,A
n12_interval14,A,False,A
n12_interval15,A,False,A
n12_interval16,A,False,A
n12_interval17,A,False,A
n12_interval18,A,False,A
n12_interval19,A,False,A
n12_interval20,A,False,A
n12,A,False,A
SAMN13622034,A,False,A
SAMN16340147_interval21,A,False,A
SAMN16340147_interval22,A,False,A
SAMN16340147_interval23,A,False,A
SAMN16340147,A,False,A
SAMN15868239_interval4,A,False,A
SAMN15868239_interval5,A,False,A
SAMN15868239_interval6,A,False,A
SAMN15868239_interval7,A,False,A
SAMN15868239_interval8,A,False,A
SAMN15868239_interval9,A,False,A
SAMN15868239_interval10,A,False,A
SAMN15868239_interval11,A,False,A
SAMN15868239_interval12,A,False,A
SAMN15868239_interval13,A,False,A
SAMN15868239_interval14,A,False,A
SAMN15868239_interval15,A,False,A
SAMN15868239_interval16,A,False,A
SAMN15868239_interval17,A,False,A
SAMN15868239_interval18,A,False,A
SAMN15868239,A,False,A
SAMN29869135_interval4,A,False,A
SAMN29869135_interval5,A,False,A
SAMN29869135_interval6,A,False,A
SAMN29869135_interval7,A,False,A
SAMN29869135_interval8,A,False,A
SAMN29869135_interval9,A,False,A
SAMN29869135_interval10,A,False,A
SAMN29869135_interval11,A,False,A
SAMN29869135_interval12,A,False,A
SAMN29869135_interval13,A,False,A
SAMN29869135_interval14,A,False,A
SAMN29869135_interval15,A,False,A
SAMN29869135_interval16,A,False,A
SAMN29869135_interval17,A,False,A
SAMN29869135_interval18,A,False,A
SAMN29869135_interval19,A,False,A
SAMN29869135_interval20,A,False,A
SAMN29869135_interval21,A,False,A
SAMN29869135_interval22,A,False,A
SAMN29869135_interval23,A,False,A
SAMN29869135_interval24,A,False,A
SAMN29869135_interval25,A,False,A
SAMN29869135_interval26,A,False,A
SAMN29869135,A,False,A
SAMN26304325_interval4,A,False,A
SAMN26304325_interval5,A,False,A
SAMN26304325_interval6,A,False,A
SAMN26304325_interval7,A,False,A
SAMN26304325_interval8,A,False,A
SAMN26304325_interval9,A,False,A
SAMN26304325_interval10,A,False,A
SAMN26304325_interval11,A,False,A
SAMN26304325_interval12,A,False,A
SAMN26304325_interval13,A,False,A
SAMN26304325_interval14,A,False,A
SAMN26304325_interval15,A,False,A
SAMN26304325_interval16,A,False,A
SAMN26304325_interval17,A,False,A
SAMN26304325_interval18,A,False,A
SAMN26304325_interval19,A,False,A
SAMN26304325_interval20,A,False,A
SAMN26304325_interval21,A,False,A
SAMN26304325_interval22,A,False,A
SAMN26304325,A,False,A
n1212,A,False,A
SAMN26304479_interval3,A,False,A
SAMN26304479_interval4,A,False,A
SAMN26304479_interval5,A,False,A
SAMN26304479_interval6,A,False,A
SAMN26304479_interval7,A,False,A
SAMN26304479_interval8,A,False,A
SAMN26304479_interval9,A,False,A
SAMN26304479_interval10,A,False,A
SAMN26304479_interval11,A,False,A
SAMN26304479_interval12,A,False,A
SAMN26304479_interval13,A,False,A
SAMN26304479_interval14,A,False,A
SAMN26304479_interval15,A,False,A
SAMN26304479_interval16,A,False,A
SAMN26304479_interval17,A,False,A
SAMN26304479_interval18,A,False,A
SAMN26304479_interval19,A,False,A
SAMN26304479_interval20,A,False,A
SAMN26304479_interval21,A,False,A
SAMN26304479_interval22,A,False,A
SAMN26304479_interval23,A,False,A
SAMN26304479_interval24,A,False,A
SAMN26304479_interval25,A,False,A
SAMN26304479,A,False,A
SAMN11319166_interval3,A,False,A
SAMN11319166_interval4,A,False,A
SAMN11319166_interval5,A,False,A
SAMN11319166_interval6,A,False,A
SAMN11319166_interval7,A,False,A
SAMN11319166,A,False,A
SAMN26308499_interval3,A,False,A
SAMN26308499_interval4,A,False,A
SAMN26308499_interval5,A,False,A
SAMN26308499_interval6,A,False,A
SAMN26308499_interval7,A,False,A
SAMN26308499_interval8,A,False,A
SAMN26308499_interval9,A,False,A
SAMN26308499_interval10,A,False,A
SAMN26308499_interval11,A,False,A
SAMN26308499_interval12,A,False,A
SAMN26308499_interval13,A,False,A
SAMN26308499_interval14,A,False,A
SAMN26308499_interval15,A,False,A
SAMN26308499_interval16,A,False,A
SAMN26308499_interval17,A,False,A
SAMN26308499_interval18,A,False,A
SAMN26308499_interval19,A,False,A
SAMN26308499_interval20,A,False,A
SAMN26308499_interval21,A,False,A
SAMN26308499_interval22,A,False,A
SAMN26308499_interval23,A,False,A
SAMN26308499_interval24,A,False,A
SAMN26308499_interval25,A,False,A
SAMN26308499,A,False,A
n13,A,False,A
n1313,A,False,A
n14,A,False,A
SAMN11319335_interval3,A,False,A
SAMN11319335_interval4,A,False,A
SAMN11319335_interval5,A,False,A
SAMN11319335_interval6,A,False,A
SAMN11319335_interval7,A,False,A
SAMN11319335_interval8,A,False,A
SAMN11319335_interval9,A,False,A
SAMN11319335_interval10,A,False,A
SAMN11319335_interval11,A,False,A
SAMN11319335_interval12,A,False,A
SAMN11319335,A,False,A
SAMN26304705_interval3,A,False,A
SAMN26304705_interval4,A,False,A
SAMN26304705_interval5,A,False,A
SAMN26304705_interval6,A,False,A
SAMN26304705_interval7,A,False,A
SAMN26304705_interval8,A,False,A
SAMN26304705_interval9,A,False,A
SAMN26304705_interval10,A,False,A
SAMN26304705_interval11,A,False,A
SAMN26304705_interval12,A,False,A
SAMN26304705_interval13,A,False,A
SAMN26304705_interval14,A,False,A
SAMN26304705_interval15,A,False,A
SAMN26304705_interval16,A,False,A
SAMN26304705_interval17,A,False,A
SAMN26304705_interval18,A,False,A
SAMN26304705_interval19,A,False,A
SAMN26304705_interval20,A,False,A
SAMN26304705_interval21,A,False,A
SAMN26304705_interval22,A,False,A
SAMN26304705_interval23,A,False,A
SAMN26304705_interval24,A,False,A
SAMN26304705_interval25,A,False,A
SAMN26304705,A,False,A
n1414_interval3,A,False,A
n1414_interval4,A,False,A
n1414,A,False,A
SAMN06015664_interval5,A,False,A
SAMN06015664_interval6,A,False,A
SAMN06015664_interval7,A,False,A
SAMN06015664_interval8,A,False,A
SAMN06015664_interval9,A,False,A
SAMN06015664_interval10,A,False,A
SAMN06015664_interval11,A,False,A
SAMN06015664_interval12,A,False,A
SAMN06015664_interval13,A,False,A
SAMN06015664_interval14,A,False,A
SAMN06015664_interval15,A,False,A
SAMN06015664_interval16,A,False,A
SAMN06015664,A,False,A
SAMN11319389_interval5,A,False,A
SAMN11319389_interval6,A,False,A
SAMN11319389_interval7,A,False,A
SAMN11319389,A,False,A
SAMN11319282_interval3,A,False,A
SAMN11319282_interval4,A,False,A
SAMN11319282_interval5,A,False,A
SAMN11319282_interval6,A,False,A
SAMN11319282_interval7,A,False,A
SAMN11319282_interval8,A,False,A
SAMN11319282_interval9,A,False,A
SAMN11319282,A,False,A
n15,A,False,A
n1515,A,False,A
n16,A,False,A
n1616,A,False,A
n17_interval3,A,False,A
n17,A,False,A
SAMN10093631_interval4,A,False,A
SAMN10093631_interval5,A,False,A
SAMN10093631_interval6,A,False,A
SAMN10093631_interval7,A,False,A
SAMN10093631_interval8,A,False,A
SAMN10093631_interval9,A,False,A
SAMN10093631_interval10,A,False,A
SAMN10093631_interval11,A,False,A
SAMN10093631,A,False,A
SAMN11319386_interval4,A,False,A
SAMN11319386_interval5,A,False,A
SAMN11319386_interval6,A,False,A
SAMN11319386_interval7,A,False,A
SAMN11319386,A,False,A
n1717,A,False,A
n18,A,False,A
n1818,A,False,A
SAMN25004485_interval3,A,False,A
SAMN25004485_interval4,A,False,A
SAMN25004485_interval5,A,False,A
SAMN25004485_interval6,A,False,A
SAMN25004485_interval7,A,False,A
SAMN25004485_interval8,A,False,A
SAMN25004485_interval9,A,False,A
SAMN25004485_interval10,A,False,A
SAMN25004485_interval11,A,False,A
SAMN25004485_interval12,A,False,A
SAMN25004485_interval13,A,False,A
SAMN25004485_interval14,A,False,A
SAMN25004485_interval15,A,False,A
SAMN25004485_interval16,A,False,A
SAMN25004485_interval17,A,False,A
SAMN25004485_interval18,A,False,A
SAMN25004485_interval19,A,False,A
SAMN25004485_interval20,A,False,A
SAMN25004485_interval21,A,False,A
SAMN25004485_interval22,A,False,A
SAMN25004485_interval23,A,False,A
SAMN25004485_interval24,A,False,A
SAMN25004485_interval25,A,False,A
SAMN25004485_interval26,A,False,A
SAMN25004485,A,False,A
SAMN04393386_interval3,A,False,A
SAMN04393386_interval4,A,False,A
SAMN04393386_interval5,A,False,A
SAMN04393386_interval6,A,False,A
SAMN04393386_interval7,A,False,A
SAMN04393386_interval8,A,False,A
SAMN04393386_interval9,A,False,A
SAMN04393386_interval10,A,False,A
SAMN04393386_interval11,A,False,A
SAMN04393386_interval12,A,False,A
SAMN04393386_interval13,A,False,A
SAMN04393386_interval14,A,False,A
SAMN04393386_interval15,A,False,A
SAMN04393386,A,False,A
n19_interval3,A,False,A
n19_interval4,A,False,A
n19,A,False,A
SAMN10093600_interval5,A,False,A
SAMN10093600_interval6,A,False,A
SAMN10093600_interval7,A,False,A
SAMN10093600_interval8,A,False,A
SAMN10093600_interval9,A,False,A
SAMN10093600_interval10,A,False,A
SAMN10093600_interval11,A,False,A
SAMN10093600_interval12,A,False,A
SAMN10093600_interval13,A,False,A
SAMN10093600_interval14,A,False,A
SAMN10093600_interval15,A,False,A
SAMN10093600_interval16,A,False,A
SAMN10093600,A,False,A
SAMN26304603_interval5,A,False,A
SAMN26304603_interval6,A,False,A
SAMN26304603_interval7,A,False,A
SAMN26304603_interval8,A,False,A
SAMN26304603_interval9,A,False,A
SAMN26304603_interval10,A,False,A
SAMN26304603_interval11,A,False,A
SAMN26304603_interval12,A,False,A
SAMN26304603_interval13,A,False,A
SAMN26304603_interval14,A,False,A
SAMN26304603_interval15,A,False,A
SAMN26304603_interval16,A,False,A
SAMN26304603_interval17,A,False,A
SAMN26304603_interval18,A,False,A
SAMN26304603_interval19,A,False,A
SAMN26304603_interval20,A,False,A
SAMN26304603_interval21,A,False,A
SAMN26304603_interval22,A,False,A
SAMN26304603_interval23,A,False,A
SAMN26304603,A,False,A
n1919,A,False,A
n20,A,False,A
SAMN26308494_interval3,A,False,A
SAMN26308494_interval4,A,False,A
SAMN26308494_interval5,A,False,A
SAMN26308494_interval6,A,False,A
SAMN26308494_interval7,A,False,A
SAMN26308494_interval8,A,False,A
SAMN26308494_interval9,A,False,A
SAMN26308494_interval10,A,False,A
SAMN26308494_interval11,A,False,A
SAMN26308494_interval12,A,False,A
SAMN26308494_interval13,A,False,A
SAMN26308494_interval14,A,False,A
SAMN26308494_interval15,A,False,A
SAMN26308494_interval16,A,False,A
SAMN26308494_interval17,A,False,A
SAMN26308494_interval18,A,False,A
SAMN26308494_interval19,A,False,A
SAMN26308494_interval20,A,False,A
SAMN26308494_interval21,A,False,A
SAMN26308494_interval22,A,False,A
SAMN26308494_interval23,A,False,A
SAMN26308494_interval24,A,False,A
SAMN26308494_interval25,A,False,A
SAMN26308494,A,False,A
SAMN26308477_interval3,A,False,A
SAMN26308477_interval4,A,False,A
SAMN26308477_interval5,A,False,A
SAMN26308477_interval6,A,False,A
SAMN26308477_interval7,A,False,A
SAMN26308477_interval8,A,False,A
