,true_min_time,true_max_time,min_time,max_time
PRJNA248737_META,2008.0024325,2011.741457,2008.0,2011.8
PRJNA278886_META,2014.002399,2018.000012,2014.0,2018.1
PRJNA288601_META,2018.0024520000002,2023.0,2018.0,2023.1
PRJNA381936_META,2014.865399,2015.1506985,2014.8,2015.2
PRJNA448593_META,2012.999669,2016.999686,2012.9,2017.0
PRJNA475142_META,1985.999769,1999.999705,1985.9,2000.0
PRJNA475751_META,2016.002383,2020.00005,2016.0,2020.1
PRJNA530580_META,2010.002349,2014.999689,2010.0,2015.0
PRJNA530794_META,2017.002424,2019.000011,2017.0,2019.1
PRJNA578285_META,2009.0024265000002,2013.999705,2009.0,2014.0
PRJNA592372_META,1995.002508,2011.999715,1995.0,2012.0
PRJNA658369_META,2016.002383,2018.000061,2016.0,2018.1
PRJNA809394_META,2019.747586,2020.748297,2019.7,2020.8
PRJNA824420_META,2016.450529,2019.985973,2016.4,2020.0
PRJNA836696_META,2017.092852,2020.120242,2017.0,2020.2
