node,Clade
root,A
n0,A
n6161,B1
n00,A
SAMN11319316,A
n62,B1
n401401,B1
n1,A
n15,A
n6262,B1
SAMN15868771,B1
n402,B1
SAMN11319305,B1
n11,A
n13,A
n1515,A
n5353,A
n63,B0
n400400,B1
n402402,B1
n446446,B1
n2,A
SAMN26308499,A
n1313,A
SAMN11319282,A
n16,A
n4747,A
n54,A
n61,A
n6363,C0
n395395,B0
n401,B1
SAMN11319341,B1
n403,B1
n409409,B1
SAMN26308802,B1
SAMN29599259,B1
n22,A
n1212,A
n14,A
n1414,A
n1616,A
SAMN26304704,A
n48,A
n51,A
n5454,A
SAMN15868530,A
SAMN26308493,A
SAMN26308471,A
n64,C0
n394394,C0
n396,B0
SAMN09405752,B0
SAMN26309425,B1
SAMN26304415,B1
n403403,B1
n408408,B1
n410,B1
n445,B1
n3,A
SAMN26304325,A
SAMN26304479,A
SAMN11319166,A
SAMN11319335,A
SAMN26304705,A
SAMN06015664,A
SAMN11319389,A
n17,A
n1717,A
n4848,A
n50,A
n5151,A
SAMN26308484,A
n5555,A
SAMN15868277,A
n6464,C1
SAMN13176253,C0
n395,C0
SAMN11319169,C0
n396396,B0
n398398,B0
n404,B1
n407407,B1
n409,B1
SAMN13422978,B1
n410410,B1
n437437,B1
n445445,B1
SAMN26308785,B1
n33,A
n55,A
SAMN10093631,A
SAMN11319386,A
n18,A
n1919,A
n49,A
SAMN26308474,A
n5050,A
SAMN09400814,A
n52,A
SAMN09400827,A
n56,A
n5656,A
n65,C2
n245,C1
SAMN13082356,C0
SAMN11319163,C0
n397,B0
SAMN26305070,B0
n399,B0
SAMN26308892,B0
n404404,B1
SAMN26304506,B1
n408,B1
SAMN26304500,B1
SAMN07325904,B1
SAMN09405759,B1
n411,B1
n436,B1
n438,B1
SAMN26309423,B1
n446,B1
SAMN09405758,B1
n4,A
SAMN15868657,A
n6,A
n99,A
n1818,A
n19,A
n20,A
n2020,A
n4949,A
SAMN26308486,A
SAMN09400832,A
SAMN09400804,A
n5252,A
SAMN05510454,A
SAMN15868897,A
SAMN26308481,A
n57,A
SAMN26304604,A
n6565,C2
SAMN27404441,C2
n245245,C1
n358358,C1
n397397,B0
SAMN09405760,B0
n399399,B0
SAMN26308859,B0
n405,B1
n407,B1
SAMN26308877,B1
SAMN26308819,B1
n411411,B1
n435435,B1
n436436,B1
n437,B1
n438438,B1
n442,B1
SAMN26308875,B1
SAMN26308867,B1
n44,A
SAMN27407159,A
n66,A
n77,A
n10,A
SAMN29869135,A
SAMN25004485,A
SAMN04393386,A
SAMN10093600,A
SAMN26304603,A
SAMN26308494,A
SAMN26308477,A
n21,A
n4545,A
SAMN26305190,A
SAMN26308490,A
n53,A
SAMN09400879,A
n5757,A
SAMN11335458,A
n6666,C2
n237237,C2
n246,C1
SAMN02801894,C1
n359,C1
n360,C1
n398,B0
SAMN26304755,B0
n400,B0
SAMN06680403,B0
n405405,B1
SAMN26305098,B1
SAMN05194537,B1
SAMN04622920,B1
n412,B1
n419419,B1
SAMN26304502,B1
SAMN26304496,B1
SAMN10093587,B1
SAMN26305030,B1
SAMN26304414,B1
SAMN26308862,B1
n439,B1
SAMN10093598,B1
n442442,B1
n443,B1
n5,A
SAMN26304569,A
n7,A
SAMN26308491,A
n8,A
n9,A
n1010,A
n1111,A
n2121,A
n2525,A
n46,A
SAMN26308466,A
SAMN11285026,A
SAMN13622037,A
n58,A
n6060,A
n67,C2
n232,C2
n238,C2
n240,C2
n246246,C1
n358,C1
n359359,C1
SAMN26308795,C1
n360360,C1
n361361,C1
SAMN26308850,B0
SAMN26308866,B0
SAMN04122821,B0
SAMN04339728,B0
n406,B1
SAMN11319406,B1
n412412,B1
SAMN26305099,B1
n420,B1
SAMN10093575,B1
n439439,B1
n441441,B1
SAMN26308806,B1
SAMN13422992,B1
n443443,B1
SAMN27404411,B1
SAMN07450852,A
SAMN05510453,A
SAMN26308496,A
SAMN26308497,A
n88,A
SAMN09400839,A
SAMN28174092,A
SAMN26366668,A
SAMN27404383,A
SAMN28174009,A
n12,A
SAMN15868239,A
n2222,A
SAMN26308492,A
n26,A
n28,A
n4646,A
n47,A
n5858,A
SAMN11335454,A
SAMN11335449,A
SAMN11335455,A
n6767,C2
n229,C2
n232232,C2
SAMN06311519,C2
n238238,C2
n239239,C2
n240240,C2
SAMN13082391,C2
n247,C1
n248,C1
SAMN27404335,C1
SAMN27404364,C1
SAMN26308794,C1
SAMN26308814,C1
n361,C1
SAMN13082267,C1
n362,C1
SAMN15868351,C1
n406406,B1
SAMN26304413,B1
n413,B1
n414,B1
n420420,B1
SAMN26308841,B1
n440,B1
n441,B1
SAMN09405757,B1
SAMN10093580,B1
n444,B1
SAMN10093648,B1
SAMN31390129,A
SAMN31390130,A
SAMN13622034,A
SAMN16340147,A
n23,A
SAMN26305071,A
n2626,A
n27,A
n2828,A
n3434,A
SAMN26308469,A
SAMN26308465,A
SAMN26308467,A
SAMN26308468,A
n59,A
SAMN11335456,A
n68,C2
n136136,C2
n229229,C2
SAMN13082281,C2
n233,C2
n236,C2
n239,C2
SAMN02801890,C2
SAMN13622048,C2
SAMN09400875,C2
n241,C2
SAMN15868698,C2
n247247,C1
SAMN05463123,C1
n248248,C1
n250,C1
SAMN27404354,C1
SAMN27404323,C1
n362362,C1
n381381,C1
SAMN26308887,B1
SAMN26305031,B1
n413413,B1
SAMN26305101,B1
n414414,B1
n419,B1
n421,B1
SAMN11319189,B1
n440440,B1
SAMN13176246,B1
SAMN10093579,B1
SAMN10093573,B1
n444444,B1
SAMN26308810,B1
n2323,A
SAMN26308480,A
SAMN10093604,A
SAMN10093603,A
n2727,A
SAMN26304706,A
n29,A
n3333,A
n35,A
n3535,A
n5959,A
SAMN11335465,A
n6868,C2
n124124,C2
n137,C2
n211211,C2
n230,C2
SAMN13082242,C2
n233233,C2
SAMN15226391,C2
n236236,C2
n237,C2
SAMN02801889,C2
