node,dummy
root,1
n0,1
n6161,1
n00,1
SAMN11319316,1
n62,1
n401401,1
n1,1
n15,1
n6262,1
SAMN15868771,1
n402,1
SAMN11319305,1
n11,1
n13,1
n1515,1
n5353,1
n63,1
n400400,1
n402402,1
n446446,1
n2,1
SAMN26308499,1
n1313,1
SAMN11319282,1
n16,1
n4747,1
n54,1
n61,1
n6363,1
n395395,1
n401,1
SAMN11319341,1
n403,1
n409409,1
SAMN26308802,1
SAMN29599259,1
n22,1
n1212,1
n14,1
n1414,1
n1616,1
SAMN26304704,1
n48,1
n51,1
n5454,1
SAMN15868530,1
SAMN26308493,1
SAMN26308471,1
n394394,1
n6464,1
n396,1
SAMN09405752,1
SAMN26309425,1
SAMN26304415,1
n403403,1
n408408,1
n410,1
n445,1
n3,1
SAMN26304325,1
SAMN26304479,1
SAMN11319166,1
SAMN11319335,1
SAMN26304705,1
SAMN06015664,1
SAMN11319389,1
n17,1
n1717,1
n4848,1
n50,1
n5151,1
SAMN26308484,1
n5555,1
SAMN15868277,1
n395,1
SAMN11319169,1
n65,1
n245,1
n396396,1
n398398,1
n404,1
n407407,1
n409,1
SAMN13422978,1
n410410,1
n437437,1
n445445,1
SAMN26308785,1
n33,1
n55,1
SAMN10093631,1
SAMN11319386,1
n18,1
n1919,1
n49,1
SAMN26308474,1
n5050,1
SAMN09400814,1
n52,1
SAMN09400827,1
n56,1
n5656,1
SAMN13082356,1
SAMN11319163,1
n6565,1
SAMN27404441,1
n245245,1
n358358,1
n397,1
SAMN26305070,1
n399,1
SAMN26308892,1
n404404,1
SAMN26304506,1
n408,1
SAMN26304500,1
SAMN07325904,1
SAMN09405759,1
n411,1
n436,1
n438,1
SAMN26309423,1
n446,1
SAMN09405758,1
n4,1
SAMN15868657,1
n6,1
n99,1
n1818,1
n19,1
n20,1
n2020,1
n4949,1
SAMN26308486,1
SAMN09400832,1
SAMN09400804,1
n5252,1
SAMN05510454,1
SAMN15868897,1
SAMN26308481,1
n57,1
SAMN26304604,1
n6666,1
n237237,1
n246,1
SAMN02801894,1
n359,1
n360,1
n397397,1
SAMN09405760,1
n399399,1
SAMN26308859,1
n405,1
n407,1
SAMN26308877,1
SAMN26308819,1
n411411,1
n435435,1
n436436,1
n437,1
n438438,1
n442,1
SAMN26308875,1
SAMN26308867,1
n44,1
SAMN27407159,1
n66,1
n77,1
n10,1
SAMN29869135,1
SAMN25004485,1
SAMN04393386,1
SAMN10093600,1
SAMN26304603,1
SAMN26308494,1
SAMN26308477,1
n21,1
n4545,1
SAMN26305190,1
SAMN26308490,1
n53,1
SAMN09400879,1
n5757,1
SAMN11335458,1
n67,1
n232,1
n238,1
n240,1
n246246,1
n358,1
n359359,1
SAMN26308795,1
n360360,1
n361361,1
n398,1
SAMN26304755,1
n400,1
SAMN06680403,1
n405405,1
SAMN26305098,1
SAMN05194537,1
SAMN04622920,1
n412,1
n419419,1
SAMN26304502,1
SAMN26304496,1
SAMN10093587,1
SAMN26305030,1
SAMN26304414,1
SAMN26308862,1
n439,1
SAMN10093598,1
n442442,1
n443,1
n5,1
SAMN26304569,1
n7,1
SAMN26308491,1
n8,1
n9,1
n1010,1
n1111,1
n2121,1
n2525,1
n46,1
SAMN26308466,1
SAMN11285026,1
SAMN13622037,1
n58,1
n6060,1
n6767,1
n229,1
n232232,1
SAMN06311519,1
n238238,1
n239239,1
n240240,1
SAMN13082391,1
n247,1
n248,1
SAMN27404335,1
SAMN27404364,1
SAMN26308794,1
SAMN26308814,1
n361,1
SAMN13082267,1
n362,1
SAMN15868351,1
SAMN26308850,1
SAMN26308866,1
SAMN04122821,1
SAMN04339728,1
n406,1
SAMN11319406,1
n412412,1
SAMN26305099,1
n420,1
SAMN10093575,1
n439439,1
n441441,1
SAMN26308806,1
SAMN13422992,1
n443443,1
SAMN27404411,1
SAMN07450852,1
SAMN05510453,1
SAMN26308496,1
SAMN26308497,1
n88,1
SAMN09400839,1
SAMN28174092,1
SAMN26366668,1
SAMN27404383,1
SAMN28174009,1
n12,1
SAMN15868239,1
n2222,1
SAMN26308492,1
n26,1
n28,1
n4646,1
n47,1
n5858,1
SAMN11335454,1
SAMN11335449,1
SAMN11335455,1
n68,1
n136136,1
n229229,1
SAMN13082281,1
n233,1
n236,1
n239,1
SAMN02801890,1
SAMN13622048,1
SAMN09400875,1
n241,1
SAMN15868698,1
n247247,1
SAMN05463123,1
n248248,1
n250,1
SAMN27404354,1
SAMN27404323,1
n362362,1
n381381,1
