,p0111_PLASMID,glpT-E448K_AMR,ymgB_STRESS,parE-E460D_AMR,blaCTX-M-27_AMR,aph(6)-Id_AMR,aph(3'')-Ib_AMR,tet_AMR,mph(A)_AMR,sul_AMR,qacE_STRESS,aadA_AMR,dfrA_AMR,Col_PLASMID,senB_VIR,fdeC_VIR,acrF_AMR,parE-I529L_AMR,iss_VIR,IncFIA_PLASMID,gyrA-D87N_AMR,parC-S80I_AMR,parC-E84V_AMR,gyrA-S83L_AMR,mdtM_AMR,iha_VIR,sat_VIR,iucABCD_VIR,IncFIB_PLASMID,aac(6')-Ib-cr_AMR,blaOXA-OH_AMR,blaCTX-M-15_AMR,papCFGII_VIR,hlyA-alpha_VIR,cnf1_VIR,aac(3)_AMR,erm(B)_AMR,emrE_STRESS,IncI_PLASMID,IncX_PLASMID,blaCTX-M_AMR,ampC-T32A_AMR,trxLHR_STRESS,psi-GI_STRESS,kefB_STRESS,IncY_PLASMID,blaCMY_AMR,astA_VIR,sfaF_VIR,cvaC_VIR,mchF_VIR,iroBCDEN_VIR,sslE_VIR,ibeA_VIR,ireA_VIR,aph(3')-Ia_AMR,IncQ1_PLASMID,catA_AMR,merCPRT_STRESS,IncC_PLASMID,cmlA_AMR,ant(2'')-Ia_AMR,catB_AMR,aac(6')_AMR,ble_AMR,blaNDM_AMR,nfaE_VIR,afaC_VIR,IncFII_PLASMID,blaTEM-CA_AMR,papA_VIR,papE_VIR,papH_VIR,aggR_VIR,agg3DCB_VIR,aatA_VIR,aar_VIR,agg5A_VIR,aap_VIR,iutA_VIR,parC-S80R_AMR,blaTEM-IR_AMR,qnrB_AMR,sat2_AMR,blaCTX-M-14_AMR,IncB/O/K/Z_PLASMID,qnrS1_AMR,IncN_PLASMID,BlaKPC_AMR,parE-L445H_AMR
p0111_PLASMID,1.0,0.0083934666062755,0.0132216480742335,-0.0079089129503387,0.0527771137522581,0.0085633900042629,0.0026814095976844,0.024126414169745,-0.0072404142801771,-0.0215889320941631,-0.0131849568579218,-0.0120214807358832,-0.0167245489706855,-0.0372767754076655,-0.0272902685523483,0.0119317467607796,0.0062418535204609,0.0187141632332859,0.0369654152089567,0.0204677120197735,0.0112124519652579,0.0110074265012403,0.016158226892306,-0.0115297229382261,-0.0306294187488197,0.029891685031578,0.0297257717596347,0.0255654634606236,-0.0215633992944281,0.0116659679156174,0.0098779286242079,0.0177228768304365,-0.0222884027440578,-0.041707678237538,-0.0390589143426754,-0.0302272758297275,-0.0108733056292705,0.0079089129503381,0.0337161043343988,-0.0217281741113023,-0.0073938867688189,-0.0068415051311288,-0.0088525564878355,-0.0088525564878355,-0.0088525564878355,-0.0200489135506821,-0.0088525564878355,-0.0157774523798175,-0.0073938867688189,-0.0104985654034381,-0.0112363761976641,-0.0112363761976641,-0.0129101664894841,0.0472624288257446,-0.0073938867688189,-0.0083934666062755,-0.0097086171184724,-0.009289961809158,-0.0246451604321539,-0.0088525564878355,-0.0073938867688189,-0.0062418535204611,-0.0092899618091581,-0.0073938867688189,-0.0108733056292705,-0.0108733056292705,0.0240564211968096,0.0248865716997387,0.0213814858865298,-0.0465132939468097,-0.0135266583480575,-0.0170523945948221,-0.021110350455599,-0.0062418535204611,-0.0062418535204611,-0.0062418535204611,-0.0062418535204611,-0.0062418535204611,-0.0068415051311288,-0.0104985654034381,-0.0068415051311288,-0.0079089129503387,-0.0062418535204611,-0.0062418535204611,-0.0104985654034381,-0.0101108549102866,-0.0097086171184724,-0.0191672618568552,-0.0146899672730019,-0.0115888767261994
glpT-E448K_AMR,0.0083934666062755,1.0,0.0561178061224658,0.0097030105902523,0.0380809967273053,0.0643065964413037,0.0693298806748909,0.0832514273032853,0.0202011505240205,0.0381391790403433,0.0275934198081372,0.0261421249047911,0.032021778183619,-0.0677637614298798,-0.0567209356425786,-0.0146384042797051,-0.0076577870046281,-0.0229593782584881,0.1059900115953711,0.0630263157853569,0.0810327674538253,0.0814566138456775,0.0711414089990958,-0.0376813597922526,-0.028127354508801,-0.0366724653872265,-0.0364689155131997,-0.0313648619299208,-0.0110405888244057,-0.0396894264869235,-0.037237939418971,0.0128500491777647,-0.0099741611081592,-0.0329691338277928,-0.0396846667974424,-0.0224311454008654,0.01333986103202,-0.0097030105902521,0.0269062120702955,0.0266571025414793,0.0090711532762423,0.0083934666062759,0.0108607149796225,0.0108607149796225,0.0108607149796225,0.0245969100591745,0.0108607149796224,0.0193564891268669,0.0090711532762416,0.0128801128463112,0.0137852923564322,0.0137852923564322,0.015838773666616,0.0223924400931168,0.0090711532762418,0.0102974828375284,0.0119109687145067,0.0113973435266395,0.0302357927281792,0.0108607149796226,0.0090711532762421,0.0076577870046284,0.01139734352664,0.0090711532762418,0.0133398610320198,0.0133398610320198,0.0254662908782486,0.0247700367714832,0.011308996386591,0.0684055997463194,0.0165951136428055,0.0209206456540446,0.0258991286565928,0.0076577870046278,0.0076577870046278,0.0076577870046278,0.0076577870046278,0.0076577870046278,0.0083934666062754,0.0128801128463112,0.0083934666062754,0.0097030105902523,0.0076577870046279,0.0076577870046278,0.0128801128463109,0.0124044521525314,0.0119109687145067,0.0235152600554591,0.0180223134222623,0.0142177558799182
ymgB_STRESS,0.0132216480742335,0.0561178061224658,1.0,0.0152844822410985,0.0599863632826043,0.004877433339801,0.0156166523835004,0.0503374642570273,0.072341729485046,0.0417219978610833,0.0401959657333687,0.0672854828507228,0.0471470713054974,0.0476602170313242,0.0139887145517782,-0.0230588669537212,-0.0120627828228839,0.031349243518047,0.0455931084190076,0.0145368458718067,0.0016009469157463,0.0020394727378119,0.0246008347070501,-0.0370917229397449,0.0121476838196285,0.1240819240866882,0.0795260389520954,0.027853358690168,0.0363031876392309,0.0319658304134063,0.0510546436097201,0.054918771738993,0.0216972691855038,0.0083099856222502,0.0190307982818335,-0.0080613942208381,0.0210133614867396,-0.0152844822410986,0.0423834970330562,0.0124232018603238,0.0142891610668024,0.0132216480742333,0.0171081339845636,0.0171081339845636,0.0171081339845636,0.0387458131152654,-0.0515576946898445,0.0304909400600716,0.0142891610668023,0.0202891519319344,0.0217150186790397,0.0217150186790396,-0.0227355727541767,0.0007430066670036,0.0142891610668025,-0.0561178061224649,0.0187625261353477,0.0179534478611857,0.0476283554161709,0.0171081339845638,0.0142891610668024,0.0120627828228838,0.0179534478611857,-0.067641548166876,-0.0352132997035366,-0.0352132997035366,0.0302737127838525,0.0469379300154879,-0.0359451515179212,-0.0465313217384447,0.0261411360322839,-0.0037864787217476,-0.0198490980519453,0.0120627828228836,0.0120627828228836,0.0120627828228836,0.0120627828228836,0.0120627828228836,0.0132216480742332,0.0202891519319342,0.0132216480742333,0.0152844822410987,0.0120627828228837,0.0120627828228836,0.0202891519319342,-0.0407877841677957,-0.0439924381734096,-0.0620733527847031,-0.1826187463681838,-0.0833571605290971
parE-E460D_AMR,-0.0079089129503387,0.0097030105902523,0.0152844822410985,1.0,0.2547992811147999,0.0980164840225889,0.0886338090884493,0.0916921666018917,0.0876138714827194,0.073864433482646,0.0815834349809645,0.0827258385054852,0.0782194507374603,0.0852406581541647,0.0959437064386968,-0.0707866096445067,0.0072157040294359,-0.4226164350362998,-0.2139543923862748,0.0592534537966679,0.0512403422905312,0.0510729136004498,-0.1649928823393639,0.0355060201495892,0.0265035662579632,0.0345553690777816,0.0343635701095786,0.0295541728274307,-0.0337604403424804,-0.0582501413793881,-0.0329605240060235,-0.0773006332960616,-0.0345568721991647,-0.0184846179760229,-0.0141979115540348,-0.068591028808665,-0.012569752716116,0.0091428571428574,-0.0253529202020312,-0.0251181917315523,-0.0085474768634137,-0.0079089129503387,-0.0102337274193778,-0.0102337274193778,-0.0102337274193778,0.0812375182208058,-0.0102337274193778,-0.0182390417106216,-0.0085474768634137,-0.0121365457290141,-0.0129894693523266,-0.0129894693523266,-0.014924403473021,-0.0210997276512335,-0.0085474768634137,-0.0097030105902522,-0.0112233501527019,-0.010739376475258,0.0151849260110728,-0.0102337274193778,-0.0085474768634137,-0.0072157040294358,-0.010739376475258,0.1262279172507713,0.264907538492145,0.264907538492145,0.0083825095966307,0.0092283257182114,0.0335607991546789,-0.0858291177429141,-0.0156370800479261,-0.0197128996997509,-0.0244039755732708,-0.0072157040294358,-0.0072157040294358,-0.0072157040294358,-0.0072157040294358,-0.0072157040294358,-0.0079089129503386,-0.0121365457290141,-0.0079089129503387,-0.0091428571428571,-0.0072157040294358,-0.0072157040294358,-0.0121365457290141,-0.0116883448607116,-0.011223350152702,-0.0221577273738304,-0.0169818877832701,-0.0133969668169486
blaCTX-M-27_AMR,0.0527771137522581,0.0380809967273053,0.0599863632826043,0.2547992811147999,1.0,0.4551161075921354,0.4236190266977322,0.2427010743400176,0.1710544278987287,0.1973800494324531,0.1458719474205008,0.1298461808290181,0.1102840478905498,0.0780874277642134,0.1286606354021756,-0.06768142790193,-0.1093275827895439,-0.0430597576904882,-0.0725880553233321,0.1479678585426307,0.1349444231323582,0.1341670602322482,0.0905041563276183,0.1287989379895006,0.1040174294919697,0.0386800395876068,0.0158765892386856,0.0061636539224107,-0.0685738171539725,-0.228611874902205,-0.2261935497115008,-0.2892946150956234,-0.1707588061768314,-0.1378444172352656,-0.1237104178378474,-0.2328507006276624,-0.0226896929689276,0.0358825861001451,0.0533707234038676,0.0135026303737939,-0.0335459222098933,-0.031039777332713,-0.0401638786993556,-0.0401638786993556,-0.0401638786993556,-0.0458469301197486,0.0249089743126279,-0.0154645927101671,0.0052758986437578,-0.0476317895243434,-0.0509792229220391,-0.0509792229220391,-0.0585731773171559,-0.082809211858518,0.0052758986437577,-0.0380809967273046,-0.0440478093328895,-0.0421483782382394,-0.0489117722083554,0.0249089743126278,0.0440977194974087,0.0634453320275822,0.0199317184829706,0.0052758986437577,0.0572371643112446,0.0572371643112446,-0.1706547861612467,-0.1685281817444218,0.1670587478849143,-0.1844807466249295,-0.0613701890347205,-0.0599569780298926,-0.0957772544196297,-0.0283191694963409,-0.0283191694963409,-0.0283191694963409,-0.0283191694963409,-0.0283191694963409,-0.0310397773327129,-0.0476317895243433,-0.0310397773327129,-0.0358825861001462,0.0175630812656206,-0.0283191694963409,-0.0476317895243433,-0.0458727544660748,-0.0143121704636682,-0.0713066560842999,-0.0266547104479136,-0.0525785110473395
aph(6)-Id_AMR,0.0085633900042629,0.0643065964413037,0.004877433339801,0.0980164840225889,0.4551161075921354,1.0,0.9275451769902372,0.5224514701519061,0.3845400872680245,0.4791809500187282,0.3276354727641233,0.3154037750290578,0.3599594429540057,0.0707513592110554,0.1900125760622189,0.0382401985383572,0.0144411097137931,-0.1010069110573642,-0.1605782380069589,0.0906156524463801,0.0508087413823709,0.0491741390132751,-0.0080360777621522,0.1585606284868279,0.0394195084015716,-0.0374148892537275,-0.0083511251515259,0.0360651678585164,-0.0828372717306632,-0.2620266803378963,-0.2554146237270407,-0.2971319677716675,-0.1164150548260284,-0.1077093557596028,-0.091663851846506,-0.0050609409361842,-0.0833058984903401,0.0341590739980979,0.013969740033899,-0.0135752968462283,0.0845726311918352,0.039053201995248,0.0505328389100748,0.0505328389100748,0.0505328389100748,0.0105071335319597,0.0268614878450372,0.0832575065547086,0.0280842549873037,0.0599287126885692,0.0641403406021522,0.0641403406021522,-0.0002792527402565,-0.0922233897407058,0.0563284430895694,0.0853185014708728,0.1419542027780875,0.0869036973723239,-0.0149160415102514,0.026861487845037,-0.0001599331149619,-0.0144411097137933,-0.0260097293194977,0.0280842549873037,0.0329930870700872,0.0329930870700872,-0.1658194832146155,-0.1615112226961968,0.1591812291903397,0.1164460621286465,0.1165287911965084,0.0973397809181178,0.0891436260528464,-0.0144411097137932,-0.0144411097137932,-0.0144411097137932,-0.0144411097137932,-0.0144411097137932,-0.0219264219867219,0.039876778886369,0.1000328259772179,-0.0605941856022356,-0.0144411097137932,0.0189397800173047,-0.020279022520232,-0.0358705524640038,0.0337857862669974,-0.0443452462446446,0.0474837135878569,0.1117233233652733
aph(3'')-Ib_AMR,0.0026814095976844,0.0693298806748909,0.0156166523835004,0.0886338090884493,0.4236190266977322,0.9275451769902372,1.0,0.5480844846746739,0.4356470093333669,0.5177243700549139,0.3711928155325558,0.3601433354906513,0.3951760529820032,0.1244719182752067,0.2381641445599669,0.0469397841440348,0.019155206460527,-0.0826432221849005,-0.1319734440155653,0.1192860832177756,0.0858012947751851,0.0840954025181579,0.0316526988394999,0.1791921630815354,0.0571339133070356,-0.0269284877682959,0.0010814203654454,0.0474320592886221,-0.0101152286200778,-0.1918454697728762,-0.1874363627257803,-0.2489696861138758,-0.1563832923822012,-0.1388799177161073,-0.1211246705532828,0.0694564453822972,-0.0898133056555338,-0.0116531663752354,-0.004490440937078,-0.0112724709207037,0.0760079351950572,0.0322774680321255,0.0417653869378228,0.0417653869378228,0.0417653869378228,-0.0063022962791855,0.0187879186100362,0.0678311946401521,0.0211754133182308,0.0495310757936598,0.053011985895741,0.053011985895741,-0.0108968914903906,-0.1045425385113277,0.0485916742566441,0.0759092287816417,0.129802311153564,0.0767100893846738,-0.0169942330117961,0.0187879186100362,-0.0062408476201824,-0.019155206460527,-0.0328934849303213,0.0211754133182308,0.0230765860082901,0.0230765860082901,-0.1964857249059891,-0.1919447361497635,0.1919016549996082,0.1008353664168226,0.1019797274535691,0.0804513204121129,0.0691554851879531,-0.019155206460527,-0.019155206460527,-0.019155206460527,-0.019155206460527,-0.019155206460527,-0.0269146488367568,0.0300669280741219,0.0914695849010079,-0.0653274763379784,-0.019155206460527,0.0132471830119736,0.0300669280741219,-0.0027663215646966,0.0248046556491695,-0.01459885780975,0.0340011096038064,0.0989100311749533
tet_AMR,0.024126414169745,0.0832514273032853,0.0503374642570273,0.0916921666018917,0.2427010743400176,0.5224514701519061,0.5480844846746739,1.0,0.5459020519563166,0.5478457879775168,0.4811335292237559,0.4532129729641342,0.4645028104862585,0.1263846579827439,0.1395635961761147,0.0541769102553198,0.0484828889904873,0.0042226033865852,0.0278717650799953,0.1652251454454705,0.1504376539265458,0.147869269735784,0.1131399912389073,0.1093560843366545,0.1481353268647263,0.0931715427950113,0.1112294036154751,0.1214385561754615,0.1871716807116654,0.2219143963578416,0.2390151623443998,0.0982467365696396,0.0308006811825042,-0.0465229892245331,-0.0051265328159291,0.2140258051823917,-0.0669140769105981,-0.0199154085261201,-0.001969080767635,-0.0340806136247682,0.0601582744397756,-0.0034689533326965,-0.0044886475626006,-0.0044886475626006,-0.0044886475626006,-0.0349211424581006,-0.0044886475626006,-0.0141584691357086,-0.0676563461817879,0.0128251243337155,-0.0056973522508909,-0.0226931699452717,-0.1032538791860209,-0.1977938264017259,0.0345953503154628,0.029599371451398,0.0146572555353511,0.0055090063438631,0.095194506226828,-0.0044886475626006,-0.0420934220574753,-0.0484828889904872,-0.0762464995659039,0.0090324261911501,0.0909737405503648,0.0909737405503648,0.0472029568207507,0.05060880016569,0.0313886742308203,-0.1060527459011573,0.014490969707131,-0.0086463373082939,-0.0390869321517874,-0.0484828889904871,-0.0484828889904871,-0.0484828889904871,-0.0484828889904871,-0.0484828889904871,-0.0586596883375795,0.0309734973892778,-0.0034689533326965,-0.0040101774991371,0.0119410926306845,0.0421530834412705,-0.0053232487218466,-0.0521832365171764,-0.0245026737769485,-0.0251809887716431,-0.0271992525808359,0.0353686194085142
mph(A)_AMR,-0.0072404142801771,0.0202011505240205,0.072341729485046,0.0876138714827194,0.1710544278987287,0.3845400872680245,0.4356470093333669,0.5459020519563166,1.0,0.819569409620564,0.8528896246233547,0.824736494568221,0.786069448025779,0.1810266855265395,0.1401287340957186,0.0769855585861865,0.0520571249516367,0.0250871552768328,0.0360689382621815,0.1583444277221652,0.1534037232889487,0.1616508106274021,0.118862224310403,0.1265634989433922,0.1788416179754692,0.1596712837267701,0.170761242023176,0.16002763131241,0.0179250801578237,0.1590437326237755,0.165791665269508,0.1361826094703733,0.0219824288355965,-0.0243451179375204,-0.0383920719558529,0.1676338894184378,0.120453013957429,-0.0156259231087355,-0.004854033482919,-0.0553789093537846,0.0562703424077899,-0.0072404142801771,-0.0093687244520158,-0.0093687244520158,-0.0093687244520158,-0.065908800668364,-0.0738304155517302,-0.0475809211830765,-0.071920349919554,-0.1385231073986712,-0.1482581368966058,-0.1482581368966057,-0.1554210234418737,-0.2408263359917282,-0.0462822114540852,0.0024354178931241,-0.0102746995987067,-0.0405801549964972,0.0736171541455034,-0.0308559548185872,-0.0719203499195541,-0.0520571249516368,0.0414159018957386,0.0049940654768523,0.0852635974729261,0.0852635974729261,0.1289360527106498,0.1276330908835331,0.0751989667940402,0.0129032183136895,-0.0071778881186512,-0.0180466723285483,-0.012852389915867,0.0388455276501336,0.0388455276501336,0.0388455276501336,0.0388455276501336,0.0388455276501336,0.0204361476652617,0.0434946066385709,0.0204361476652618,-0.0083700596825923,-0.0217562407510465,0.0085446434495435,0.0434946066385709,-0.0012613847247416,-0.0102746995987066,-0.0461312065760926,-0.0881790810743216,0.0456478929148086
sul_AMR,-0.0215889320941631,0.0381391790403433,0.0417219978610833,0.073864433482646,0.1973800494324531,0.4791809500187282,0.5177243700549139,0.5478457879775168,0.819569409620564,1.0,0.8959034201135061,0.8597655149395469,0.8583457109409621,0.1266452689631177,0.1050568613288662,0.0542168149728698,0.0040983230959652,-0.0116396092798765,0.0318119589227696,0.1695861665850558,0.1426819406457194,0.1506794247337565,0.1134911305879598,0.1292004665699494,0.1314589196961966,0.1016491178175049,0.097479570281343,0.1346053158873834,0.0456967656283488,0.1123302265054126,0.1267811115094874,0.1409137163620457,0.0480373999584197,0.0168681773889664,-0.0232205515335825,0.1587419775112154,0.0653202790457702,-0.024453604115088,-0.003060592618439,-0.0638020059274341,0.0426582823479598,-0.0215889320941631,-0.0279349700413206,-0.0279349700413206,-0.0279349700413206,0.0134209369171548,-0.0058124780713779,0.007446811542,-0.010133957754701,-0.0143891868525871,-0.0179075311515991,-0.0003577531195657,-0.0791467563443426,-0.2189058176559865,-0.0101339577547009,0.0783898697230574,0.0704544226127507,0.0445524700971495,0.1531856416416196,0.06055499783845,0.0426582823479598,0.0270983949534945,0.0656575296978915,0.0162621622966293,0.0834351679896821,0.0834351679896821,0.06639985258827,0.0660933414149907,0.0756980403009535,0.0200043750410987,0.0234519151320341,0.0053756610996987,0.0603864988758617,0.058295113002954,0.058295113002954,0.058295113002954,0.058295113002954,0.058295113002954,0.0354006853621779,0.0980502112963904,0.0638954940903486,-0.0249572252524697,-0.0040983230959652,-0.0040983230959652,0.0230906125304052,-0.0027514344771651,-0.0104181872891782,-0.0125849848441429,-0.0259608716643011,0.0400906041482693
