,BlaKPC_AMR,Col_PLASMID,IncB/O/K/Z_PLASMID,IncC_PLASMID,IncFIA_PLASMID,IncFIB_PLASMID,IncFII_PLASMID,IncI_PLASMID,IncN_PLASMID,IncQ1_PLASMID,IncX_PLASMID,IncY_PLASMID,aac(3)_AMR,aac(6')-Ib-cr_AMR,aac(6')_AMR,aadA_AMR,aap_VIR,aar_VIR,aatA_VIR,acrF_AMR,afaC_VIR,agg3DCB_VIR,agg5A_VIR,aggR_VIR,ampC-T32A_AMR,ant(2'')-Ia_AMR,aph(3'')-Ib_AMR,aph(3')-Ia_AMR,aph(6)-Id_AMR,astA_VIR,blaCMY_AMR,blaCTX-M-14_AMR,blaCTX-M-15_AMR,blaCTX-M-27_AMR,blaCTX-M_AMR,blaNDM_AMR,blaOXA-OH_AMR,blaTEM-CA_AMR,blaTEM-IR_AMR,ble_AMR,catA_AMR,catB_AMR,cmlA_AMR,cnf1_VIR,cvaC_VIR,dfrA_AMR,emrE_STRESS,erm(B)_AMR,fdeC_VIR,glpT-E448K_AMR,gyrA-D87N_AMR,gyrA-S83L_AMR,hlyA-alpha_VIR,ibeA_VIR,iha_VIR,ireA_VIR,iroBCDEN_VIR,iss_VIR,iucABCD_VIR,iutA_VIR,kefB_STRESS,mchF_VIR,mdtM_AMR,merCPRT_STRESS,mph(A)_AMR,nfaE_VIR,p0111_PLASMID,papA_VIR,papCFGII_VIR,papE_VIR,papH_VIR,parC-E84V_AMR,parC-S80I_AMR,parC-S80R_AMR,parE-E460D_AMR,parE-I529L_AMR,parE-L445H_AMR,psi-GI_STRESS,qacE_STRESS,qnrB_AMR,qnrS1_AMR,sat2_AMR,sat_VIR,senB_VIR,sfaF_VIR,sslE_VIR,sul_AMR,tet_AMR,trxLHR_STRESS,ymgB_STRESS
BlaKPC_AMR,1.0,0.02590017169455574,-0.021709861337146256,0.10531875274460498,-0.00747023381138627,0.0776548277107562,0.024009106197746818,-0.020538133297458988,0.19812286097368348,-0.02084618296748009,-0.019886466523426648,-0.01431702709077523,0.06703471637623841,-0.004560455847956898,0.13246826732759184,-0.0723407552582879,-0.014689967273001935,-0.013402405199002909,-0.013402405199002909,0.013402405199002675,-0.043351698004265214,-0.013402405199002909,-0.013402405199002909,-0.013402405199002909,-0.01468996727300194,-0.013402405199002878,0.03400110960380649,0.1129546639592846,0.047483713587856954,0.00186182313680813,-0.019008063663799056,-0.022542346930101674,-0.03594395273250671,-0.02665471044791366,-0.01587603203862704,-0.023346982978433607,0.006555431697741569,0.06553271672593561,-0.016981887783270106,-0.023346982978433607,0.09866166637394581,-0.019947253174310325,0.058296117644482386,-0.03275950905763012,-0.022542346930101653,-0.015777897198239417,0.016981887783269332,-0.023346982978433642,0.025619650364375055,0.018022313422262393,0.04777462931259129,0.06594866794806176,-0.024107139837117944,-0.03919050704086959,-0.038710186635715974,0.05829611764448235,-0.024126562130282213,-0.061893396277394985,-0.03836489080068946,-0.022542346930101702,-0.019008063663799046,-0.02412656213028221,0.04922756431788063,0.16340784537680014,-0.0881790810743216,-0.04457025888284557,-0.014689967273001925,-0.029044218287863268,-0.05511437373990068,-0.036614621157628174,-0.017876188892854916,0.011951247991760106,0.04737748409670876,-0.014689967273001953,-0.016981887783270134,-0.05150036368743398,0.11872493588556526,-0.019008063663799046,-0.06161480083384825,-0.013402405199002885,0.1495906648129361,-0.013402405199002872,-0.03950841567872776,0.007181250437094319,-0.01587603203862701,-0.02772049711058789,-0.025960871664301104,-0.027199252580835966,-0.019008063663799046,-0.18261874636818382
Col_PLASMID,0.02590017169455574,1.0,-0.023539655763574783,0.009223882200857413,-0.12978783945691294,0.01589679412297486,0.15839169070735276,-0.030528640907426283,-0.0111303581979311,-0.013514562577398635,-0.01632873845842699,-0.06276436990206963,0.10514747442207552,-0.03165516350207283,-0.023147022056782793,0.15490824517123117,-0.0927833398005302,-0.08465096569744508,-0.08465096569744508,-0.036888550905553,0.09148795956444498,-0.08465096569744508,-0.08465096569744508,-0.08465096569744508,-0.06503005760409793,-0.02388120739594588,0.12447191827520679,-0.04573282685271469,0.07075135921105546,-0.040543969675281406,-0.05541649861943655,-0.014614184222768405,-0.10473992092401899,0.07808742776421349,-0.07456543834895724,-0.023957569732088818,-0.028578117836647297,0.03883254213532122,-0.03507184368427434,-0.023957569732088818,-0.06432138240874626,-0.043765544309968506,-0.023147022056782828,-0.08094246909820546,-0.14237977500202062,0.13605769712235619,-0.013053157051100625,0.08190331804156135,-0.04792731000541849,-0.06776376142987987,-0.17652219263095895,-0.07951135721200527,-0.08357832336030163,-0.0416601543268377,0.04874260915631168,-0.023147022056782828,-0.13529276428637235,-0.14134160545364644,0.055790614478471265,0.04014249753976834,0.00922388220085724,-0.13529276428637235,0.02748542342309583,0.04900657370710814,0.18102668552653953,0.08722178347906004,-0.03727677540766557,-0.05461562869141073,-0.07588409809081181,-0.03526636504011779,-0.029385972150470414,-0.19079244889276298,-0.17441368177820418,0.07373635337806356,0.08524065815416478,0.03134690074860764,0.025348812142156445,0.00922388220085724,0.16288358369905698,0.036888550905553305,0.02586945971911305,0.006503671754803716,0.09510509232008872,0.6878060094768109,-0.07456543834895701,-0.13019569457109376,0.12664526896311779,0.1263846579827439,0.00922388220085724,0.047660217031324295
IncB/O/K/Z_PLASMID,-0.021709861337146256,-0.023539655763574783,1.0,-0.013082927297147759,-0.050254483412496026,-0.035342323515840095,0.07682104297915052,-0.032411495653626575,0.014429679845437157,-0.01434807358657978,-0.03211141579142195,-0.029629687054898116,0.011579265763763549,-0.010977218058274427,-0.010927203138745862,-0.008264342985843175,-0.010110854910286661,-0.00922464780878292,-0.00922464780878292,0.009224647808782861,0.029092498943282644,-0.00922464780878292,-0.00922464780878292,-0.00922464780878292,-0.010110854910286661,-0.00922464780878291,-0.002766321564696698,-0.01240445215253181,-0.035870552464003835,-0.02331702290778977,0.0757803404211713,0.2855877655408775,-0.04112324200410116,-0.04587275446607481,-0.01092720313874585,0.05669589868270364,-0.013333003055968943,0.041602112361216526,-0.011688344860711603,0.05669589868270364,-0.013729355481606365,0.0710470143803406,-0.010927203138745858,-0.03337125434567632,-0.015515514426399887,-0.015123366260762786,0.011688344860711481,-0.016069331748731392,0.0176335701007681,0.012404452152531404,-0.024836635089073415,-0.04105126922266853,-0.03824926073439562,-0.0269741601997338,-0.01465871061176074,-0.010927203138745864,-0.01660590283489791,0.029387607964647382,-0.02887468460678141,-0.015515514426399911,-0.013082927297147743,-0.016605902834897907,0.03388249620675864,-0.0020623762169747996,-0.0012613847247416087,0.027910429807746436,-0.010110854910286658,-0.019990642023484276,-0.05714554198576463,-0.02520122170729914,-0.031198352770459473,-0.015857108527903275,-0.025214908223219867,-0.010110854910286661,-0.011688344860711603,0.02765709965753617,-0.017126852776688153,-0.013082927297147743,-0.009963886070984342,-0.009224647808782904,-0.014348073586579788,-0.009224647808782903,-0.044700367355533926,-0.00898779063292198,-0.010927203138745845,-0.01907954722549219,-0.0027514344771651955,-0.05218323651717644,-0.013082927297147743,-0.04078778416779573
IncC_PLASMID,0.10531875274460498,0.009223882200857413,-0.013082927297147759,1.0,0.018516359252288842,0.003735186390383181,0.01974772536212926,0.05802786554961506,-0.024801453050572988,-0.01256245224007644,0.05899247352515894,0.06755577603059215,0.013614747951621514,0.031154235458426594,0.4731718161962424,0.04933563874868263,-0.008852556487835523,-0.008076638081766674,-0.008076638081766674,-0.27719021896623186,-0.029041201537857386,-0.008076638081766674,-0.008076638081766674,-0.008076638081766674,-0.008852556487835523,0.4198236474902321,0.01878791861003625,0.20225064784274893,0.026861487845037068,-0.020415213575002353,0.19083619702176396,-0.01358460477538769,-0.04274120850411842,0.02490897431262789,-0.009567309975082885,0.23439785989466969,0.02867743872226628,0.011582010312732626,-0.010233727419377813,0.23439785989466969,0.08447297449951922,0.18096668275705527,0.5938565977390735,-0.02282158229612738,-0.013584604775387681,0.04387498960832914,0.010233727419377064,-0.014069499393437561,-0.13603534264245706,0.010860714979622618,0.03164661410158187,0.006945631453457919,-0.027345591393491846,-0.023617219216262864,-0.09525480896857777,-0.009567309975082872,-0.01453929407372675,-0.009631346660184725,-0.08072476227767948,0.07209543820080748,0.08969072164948443,-0.014539294073726734,-0.011913413020751709,0.320091585419989,-0.030855954818587286,-0.029758546245692765,-0.00885255648783555,-0.017502801623723002,-0.04458395235023164,-0.022064923362648425,-0.027315709965032197,0.03735485616027359,0.031412476538815425,-0.008852556487835514,-0.010233727419377805,0.024215166687729026,-0.014995411664964339,0.08969072164948443,0.04796622248321123,-0.008076638081766662,0.1723149698930485,-0.008076638081766665,-0.0960448089434433,0.0003636268433490929,-0.00956730997508286,0.05353584502485753,0.060554997838450066,-0.004488647562600633,0.08969072164948443,0.017108133984563886
IncFIA_PLASMID,-0.00747023381138627,-0.12978783945691294,-0.050254483412496026,0.018516359252288842,1.0,0.16061806579609147,-0.0581966815702748,-0.009261858964956383,0.01708882440716241,-0.08018367350233058,0.028978792907803513,0.028677425910743015,-0.09485076897933022,0.14410568795694928,-0.0016473114665575739,0.15396252471078586,-0.13347598230271338,-0.1217769356398532,-0.1217769356398532,-0.01305570908740725,-0.3311840382632991,-0.1217769356398532,-0.1217769356398532,-0.1217769356398532,0.05125645088427085,0.013055709087407425,0.11928608321777567,-0.06302631578535614,0.0906156524463801,-0.14290363059974392,-0.10100078416708994,0.017909511750756654,0.22677833831479619,0.14796785854263078,0.05539488559110354,0.042316238356429996,0.15514946097191293,-0.1713682804270764,-0.020829402890767488,0.042316238356429996,-0.09002837602139177,-0.09002837602139187,0.026873787062272954,-0.008702080445608107,-0.1035816447863861,0.15368582401951467,-0.032559168234188855,-0.07512296060237873,-0.05359493678213272,0.0630263157853569,0.773635066751722,0.5527182038599984,-0.014684926094661318,-0.34407237767236243,0.2429195519447912,-0.05868950852421871,-0.12440579385577254,0.2798356452530336,0.13120702225758266,-0.06308459260733866,0.06632321662004016,-0.10544319831379993,0.3785073843406341,-0.2220299502322433,0.15834442772216525,-0.33028803801970974,0.02046771201977351,0.0378209773540963,0.037689598907722,-0.06409541118107792,-0.06351441307095697,0.7019853196182277,0.7706437690832136,-0.07189850457371877,0.05925345379666795,0.05956934509478096,0.08682368562695222,0.06632321662004016,0.1628132497903398,-0.02065245209440765,0.029045243039721093,-0.054360613276222755,0.16669801750162563,-0.20192414562777491,-0.08721060705304924,-0.25187398399146654,0.16958616658505588,0.1652251454454705,0.06632321662004016,0.014536845871806708
IncFIB_PLASMID,0.0776548277107562,0.01589679412297486,-0.035342323515840095,0.003735186390383181,0.16061806579609147,1.0,-0.3841811414269108,-0.03534055112930805,0.025212211709167657,0.07782643529191112,-0.063375279771927,-0.08695280820733096,0.19997296682990737,0.47503392269906985,0.08522333076508216,-0.002792860735646051,-0.05212597004399477,-0.04755717687708235,-0.04755717687708235,0.04755717687708305,-0.22703324562929453,-0.04755717687708235,-0.04755717687708235,-0.04755717687708235,-0.021563399294428097,-0.047557176877082365,-0.010115228620077812,0.08603166522402102,-0.0828372717306632,0.04348929375639557,-0.043720491058657926,0.04060930380210731,0.3943742928656437,-0.06857381715397257,-0.028023021478059497,0.09202019229649235,0.46308085307099844,-0.30303836812727614,-0.03376044034248057,0.09202019229649235,0.06503849488442566,-0.025507805443438638,-0.05633460953884494,0.33965703243638234,0.2014075784983438,0.023706830543994965,-0.04573414318394514,0.13087903007640778,0.05537436045659431,-0.011040588824405782,0.16282297298102227,0.08013606944696872,0.33173582674999597,0.039917847712043424,0.02352016954975245,0.11353491882586796,0.19673865863393233,0.1805406060123638,0.07019607630486273,0.02050951946507775,0.003735186390383237,0.1779153586476108,0.00885934812527134,-0.004280801999612121,0.017925080157823795,-0.2309306794006629,-0.021563399294428125,-0.10306068245685258,0.41281377435618116,-0.11722738760168826,-0.0665366622394516,0.19159576847678042,0.17348495220965632,-0.05212597004399471,-0.033760440342480484,-0.03239300179975255,-0.070024746903038,0.003735186390383237,0.003783450441909742,0.019363918234413625,-0.030600106776182204,-0.047557176877082344,0.005601548202603859,0.02975960301232512,0.028600154643511434,0.0828933848822765,0.04569676562834882,0.18717168071166543,0.003735186390383237,0.036303187639230995
IncFII_PLASMID,0.024009106197746818,0.15839169070735276,0.07682104297915052,0.01974772536212926,-0.0581966815702748,-0.3841811414269108,1.0,0.014422179462855726,0.008465987497515247,0.030341957788181505,0.04233204334831347,0.04252782590220919,-0.10648155692875212,-0.3130623424688889,-0.0005136260596101068,0.060855390844499625,0.051980921928354136,0.0474248420949117,0.0474248420949117,-0.047424842094912475,0.18901997616852717,0.0474248420949117,0.0474248420949117,0.0474248420949117,0.02138148588652962,0.013923933639066176,0.19190165499960826,-0.08639052878779256,0.15918122919033975,-0.030363217877267812,0.019747725362129043,0.03951876169969763,-0.30433187649051857,0.16705874788491437,0.05617785026986529,-0.014650224971381964,-0.29719679555432127,0.26069208981807807,0.060090956409452036,-0.014650224971381964,-0.042735401985326785,-0.1107270415403601,0.027832112105127583,-0.3607849778036292,-0.1013494424905163,0.03987272784949705,0.019499515354865916,0.004802630140994323,0.016076323089495494,0.011308996386591,-0.14355825232028893,-0.05618995578293485,-0.38342610206497224,-0.01662769499009325,0.0009529855499674255,-0.05720510238908541,-0.12193343952567678,-0.14589368520768092,0.01959586698032887,-0.04097735498042476,0.043504185164254396,-0.08424142933797414,-0.02770503288180018,0.08620824504437578,0.07519896679404027,0.18699552573097478,0.021381485886529817,-0.03926856707111909,-0.4315538204040784,-0.010264190763609436,-0.07040696805096437,-0.14980896783321937,-0.1360576131386384,0.05198092192835412,0.03356079915467896,0.04468007722409448,0.03316928163538176,0.043504185164254396,0.06963142562349074,-0.019576974816779516,0.030341957788181564,-0.05307788327262515,0.01898952368293139,0.2090239998424031,-0.028859364224347924,-0.09988351444676644,0.0756980403009535,0.03138867423082034,0.043504185164254396,-0.035945151517921214
IncI_PLASMID,-0.020538133297458988,-0.030528640907426283,-0.032411495653626575,0.05802786554961506,-0.009261858964956383,-0.03534055112930805,0.014422179462855726,1.0,0.000918111378430369,0.008361822318933404,0.19079544018111513,0.035571869160298655,-0.07437524838972456,-0.038056892649116006,-0.02370194518637285,0.026137248925031432,-0.021931223006300585,-0.020008971550286473,-0.020008971550286473,-0.16276263409353753,-0.024859870114610966,-0.020008971550286473,-0.020008971550286473,-0.020008971550286473,0.14501075901579796,0.10183876554559593,-0.004490440937078016,-0.0269062120702954,0.01396974003389902,0.17296685055320452,0.10123073678090522,-0.0336543457464373,-0.05539370412437303,0.05337072340386767,0.23404211392159796,0.03589728032408444,-0.04302202282024267,-0.0540743331349889,-0.025352920202031226,0.03589728032408444,0.011435904718762106,0.05265183886842306,0.07939567845681539,-0.0896888980387858,0.03953971162820338,0.011683815459715096,0.025352920202030366,0.0005208310761306766,-0.05880168339677798,0.02690621207029555,-0.044581329724683136,-0.027620723515543833,-0.09958506107669338,0.07184456279931842,-0.1330094099361258,0.02784686663522132,0.06679906124618068,-0.041041658405290435,-0.0800812580913012,0.0029426829408831026,0.014824994318324899,0.03252621343654815,-0.06858611558277034,-0.02888826043282994,-0.004854033482919007,-0.026911356656241676,0.03371610433439889,-0.014659610357000185,-0.037824073397236445,-0.05466339080107831,0.008642609189914966,-0.025478842333285436,-0.04538494317098667,0.03371610433439895,-0.025352920202031233,-0.04620750540489096,-0.03714946272836762,0.014824994318324899,0.013284760332957309,0.10183876554559593,0.008361822318933435,-0.02000897155028649,-0.10579752257936123,0.01918696339070676,0.0278468666352213,0.07862471845075139,-0.0030605926184390543,-0.0019690807676350634,0.014824994318324899,0.04238349703305624
IncN_PLASMID,0.19812286097368348,-0.0111303581979311,0.014429679845437157,-0.024801453050572988,0.01708882440716241,0.025212211709167657,0.008465987497515247,0.000918111378430369,1.0,-0.027199805161441656,0.022949369391430677,-0.03367612583254426,0.029478200953859973,0.032683548074079555,0.03735244168674689,-0.04929060778295222,-0.01916726185685522,-0.017487269044709774,-0.017487269044709774,0.017487269044709666,-0.04393595634086573,-0.017487269044709774,-0.017487269044709774,-0.017487269044709774,-0.019167261856855234,-0.01748726904470975,-0.014598857809750034,0.02775381310249268,-0.044345246244644684,0.01175560538414798,-0.024801453050573016,0.09426145663298446,0.02332035479811818,-0.07130665608429994,-0.020714822414305025,-0.030462813701267907,0.016201721135902868,0.01989734092258101,-0.0221577273738305,-0.030462813701267907,0.0668286517296272,-0.026026894261341867,-0.020714822414305,-0.0027338127954351634,-0.029412935947885188,0.05296632744279951,-0.03219025393475967,-0.030462813701267917,-0.03945348032210632,0.02351526005545913,0.06233566168874804,0.05448869524857281,-0.014375817249212546,-0.0021895297524206483,-0.012917527318067354,-0.020714822414305036,-0.03147999756995413,0.020618636119878946,-0.05614209515136888,-0.02941293594788526,0.023864509268662484,-0.03147999756995418,0.024219893999733684,-0.05022901261169059,-0.04613120657609261,-0.04559949745636524,-0.01916726185685523,-0.03789648588082778,-0.06812488131587999,-0.0477742406416128,-0.05914306973642333,0.06307431174450537,0.061817472219258277,-0.01916726185685525,-0.02215772737383048,-0.019346217888835088,0.005008069352338303,0.023864509268662484,-0.03172457568414273,0.11976836265732335,0.3286139423578619,0.051140546806306725,-0.04615681549985123,-0.024960731336015417,-0.020714822414305015,-0.036169313181339674,-0.012584984844142923,-0.025180988771643154,0.023864509268662484,-0.06207335278470312
IncQ1_PLASMID,-0.02084618296748009,-0.013514562577398635,-0.01434807358657978,-0.01256245224007644,-0.08018367350233058,0.07782643529191112,0.030341957788181505,0.008361822318933404,-0.027199805161441656,1.0,-0.030833934797522045,-0.028450936098736744,0.06036613898316722,-0.005460124307616906,-0.010492488755023153,0.002708906908733019,-0.009708617118472408,-0.008857665788192937,-0.008857665788192937,0.008857665788192646,0.011328267437667258,-0.008857665788192937,-0.008857665788192937,-0.008857665788192937,-0.009708617118472427,-0.008857665788192954,0.12980231115356405,0.18285542711715078,0.14195420277808757,0.13704483924912006,-0.01256245224007645,-0.014898264320734959,0.04515691414253348,-0.04404780933288957,-0.010492488755023167,-0.015430049257201971,-0.007773808156166039,0.05205597647230273,-0.011223350152702012,-0.015430049257201971,0.3395663383006134,0.16319158728917701,-0.010492488755023167,0.020570171773752217,0.22001543916513985,0.07605992643058723,0.011223350152701272,-0.015430049257201978,0.016932057878303382,0.011910968714506791,-0.10156107484956621,-0.04633511032004692,0.038134981894417726,0.11355400872937985,-0.07998535950413556,-0.010492488755023156,0.20404967899309584,-5.9474763067677906e-05,0.0016097975893401544,0.1417108713365151,-0.012562452240076436,0.20404967899309584,-0.1574655331786097,0.28670869630494866,-0.010274699598706737,0.010289982539525082,-0.009708617118472412,0.04221588002355085,0.033119950771969484,-0.024198647359184186,0.13332801407638295,-0.08980395236149767,-0.10206556913513318,0.22842218609294807,-0.011223350152701999,-0.10977849791754571,-0.01644549917180019,-0.012562452240076436,0.0010992955235841343,-0.008857665788192949,-0.013777267508610786,-0.008857665788192923,-0.08074659561350564,-0.03872697065292142,0.2100995962612969,0.17426294660460326,0.07045442261275074,0.01465725553535117,-0.012562452240076436,0.0187625261353477
