,log_likelihood,llr_JOINT,llr_MAP,llr_MPPA,scenarios,states_per_node,unresolved,pct_unresolved,method,model,scaling,states_per_branch,smoothing,0,1,count
blaTEMCA_AMR,-407.5132607076435,-426.42667786836057,-432.641377236474,-414.92375753689737,1000000,1.0380034032898469,67,3.800340328984685,MPPA,F81,0.023524503792959433,0.16180492334807312,0.0,0.5591477144676499,0.4408522855323501,394
IncX_PLASMID,-167.2131944213598,-193.9102684049196,-195.5500547166763,-178.3121689391528,1000000,1.0351673284174703,62,3.516732841747022,MPPA,F81,0.003110531260222063,0.021394681756588072,0.0,0.9886621313157503,0.011337868684249701,57
aph3Ib_AMR,-435.94444004012973,-456.9387716515899,-458.6353097884996,-442.6681335253218,1000000,1.0306296086216675,54,3.062960862166761,MPPA,F81,0.0014253930754352536,0.00980405875258893,0.0,0.9886621306599591,0.011337869340040857,281
aac3_AMR,-391.41207876020536,-417.4524235097844,-421.5758110517838,-398.6271118841513,1000000,1.026091888825865,46,2.6091888825865004,MPPA,F81,0.0013595195471968805,0.009350971143129253,0.0,0.9886621313090691,0.011337868690930916,300
aph6Id_AMR,-422.2013474358719,-443.58761546223354,-445.30306331194544,-429.4738806448089,1000000,1.022688598979013,40,2.2688598979013044,MPPA,F81,0.0014798386975348804,0.01017854357862402,0.0,0.9886621306771936,0.011337869322806398,253
mphA_AMR,-525.7217097925507,-539.4445311573279,-541.1974314436186,-529.2604977616711,1000000,1.022688598979013,40,2.2688598979013044,MPPA,F81,0.0009493509524651353,0.006529772506403077,0.0,0.9886621313711496,0.011337868628850419,480
tet_AMR,-526.4048732750076,-543.7473279980325,-546.9240553446409,-531.6525254687915,1000000,1.0198525241066365,35,1.9852524106636416,MPPA,F81,0.0010380659895609485,0.007139967301729881,0.0,0.9886621313780745,0.011337868621925573,460
sul_AMR,-542.1203424155974,-552.9952994333719,-554.7340894304805,-544.8124756388478,1000000,1.0147475893363584,26,1.474758933635848,MPPA,F81,0.0007855502865938358,0.005403127948076573,0.0,0.9886621313138749,0.011337868686125095,553
Col_PLASMID,-553.7526757682781,-565.9047885494001,-565.9047885494001,-558.7126918573247,1000000,1.0141803743618831,25,1.4180374361883155,MPPA,F81,0.0008434201804224078,0.005801165407973841,0.0,0.9886621300898394,0.01133786991016057,492
aadAqacE_AMRSTRESS,-537.9843705772789,-549.1420574592039,-550.4935283206052,-541.5291550912202,1000000,1.0130459444129325,23,1.3045944412932502,MPPA,F81,0.0008572142264423978,0.005896042842098181,0.0,0.988662131291036,0.011337868708964007,518
senB_VIR,-551.604337946637,-566.3105236957174,-566.3105236957175,-557.3910408287359,1000000,1.0130459444129325,23,1.3045944412932502,MPPA,F81,0.0009468177108462268,0.006512348505898024,0.0,0.9886621310725046,0.011337868927495467,440
dfrA_AMR,-557.9006893915575,-567.3746997704482,-567.9251557191022,-560.920547271091,1000000,1.0119115144639819,21,1.191151446398185,MPPA,F81,0.0008481271775233866,0.005833540811588153,0.0,0.9886621313630701,0.01133786863692983,529
IncI_PLASMID,-177.424066207746,-190.745014762031,-191.44243140972262,-186.54767759974325,524288,1.0107770845150312,19,1.0777084515031197,MPPA,F81,0.019164905194895186,0.1318189766434599,0.0,0.9408143053026663,0.05918569469733369,58
aph3Ia_AMR,-42.79848531768008,-45.41714180124397,-53.7144492169849,-43.67022941212828,262144,1.010209869540556,18,1.0209869540555871,MPPA,F81,0.0016993081655594414,0.01168808617146649,0.0,0.9886621311496572,0.011337868850342776,9
IncFIB_PLASMID,-298.64312845917965,-305.5038538017466,-305.5038538017466,-302.45756238702467,4096,1.006806579693704,12,0.6806579693703914,MPPA,F81,0.013128295334921766,0.09029830508023864,0.0,0.6093473728784882,0.39065262712151183,251
cvaC_VIR,-39.63777098943474,-40.29843070413733,-40.29843070413734,-40.01697961788629,256,1.0045377197958025,8,0.45377197958026094,MPPA,F81,0.0009361403435263088,0.006438908036506461,0.0,0.9772437423938687,0.02275625760613132,14
astA_VIR,-80.13642333724658,-83.08952327622545,-83.08952327622545,-81.83175046063491,256,1.0045377197958025,8,0.45377197958026094,MPPA,F81,0.003154378809137835,0.021696271509713524,0.0,0.9468388072634449,0.05316119273655511,31
afaCnfaE_VIR,-191.52325703272953,-196.48357801166185,-196.48357801166185,-193.3931473874538,128,1.0039705048213272,7,0.3970504821327283,MPPA,F81,0.005889596003902542,0.040509489099097525,0.0,0.8117797167867328,0.18822028321326723,189
merCPRT_STRESS,-166.98426260445,-171.36164458953212,-171.36164458953206,-170.070117029794,32,1.0028360748723766,5,0.28360748723766305,MPPA,F81,0.007174147075958352,0.049344816278788395,0.0,0.8135812210236653,0.1864187789763348,72
catA_AMR,-45.75602569787985,-48.20555414844884,-48.64855456329654,-46.59540626238723,32,1.0028360748723766,5,0.28360748723766305,MPPA,F81,0.001440129501350903,0.009905418011287505,0.0,0.9886621310766243,0.011337868923375792,11
cnf1_VIR,-126.0092030489125,-128.10659866681985,-128.10659866681976,-127.1189372209592,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.0038322697820641427,0.026358903201248694,0.0,0.819369815137405,0.18063018486259494,161
ireA_VIR,-31.140389547572163,-33.01471970124487,-33.04991333683293,-32.02447658255855,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.0008555168762109741,0.005884368222879536,0.0,0.9886621314301463,0.011337868569853757,7
sat_VIR,-278.71588286668316,-281.4752744054457,-281.4752744054459,-279.3472582920002,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.0002017105188908835,0.0013873939843699274,0.0,0.9886621304877186,0.011337869512281476,782
IncQ1_PLASMID,-47.996565865191165,-49.85339165844384,-49.946761321652154,-48.85622527446468,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.0014224636654035549,0.009783909848713815,0.0,0.988662131289632,0.011337868710367996,12
IncFII_PLASMID,-369.74632030740116,-372.43354332976196,-372.43354332976185,-371.70259133884366,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.00032509212701012277,0.002236030445312852,0.0,0.9886621296282576,0.011337870371742389,633
BlaKPC_AMR,-112.99765623292353,-116.51721134742317,-117.18239327463267,-115.71210028331879,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.008649603435255561,0.059493217504193306,0.0,0.9486989286755304,0.05130107132446954,27
blaNDMble_AMR,-67.37696389045182,-69.51357149234099,-69.95275769028606,-68.52046034301165,16,1.0022688598979013,4,0.22688598979013047,MPPA,F81,0.004086464688561584,0.02810729235849837,0.0,0.9673347767393126,0.03266522326068746,15
hlyAalpha_VIR,-132.51859463172363,-134.7120302314991,-134.71203023149906,-133.8092175082423,8,1.001701644923426,3,0.17016449234259784,MPPA,F81,0.003946525832648648,0.02714477276387949,0.0,0.7537396718241312,0.24626032817586896,179
cmlA_AMR,-36.507631857353815,-37.816251293980045,-37.816251293980066,-37.62756977433357,8,1.001701644923426,3,0.17016449234259784,MPPA,F81,0.0022729796015264385,0.015633880885801744,0.0,0.988662144025285,0.011337855974715037,7
blaCTXM15_AMR,-210.36787488189057,-211.86460294535823,-211.86460294535826,-210.95838695237765,8,1.001701644923426,3,0.17016449234259784,MPPA,F81,0.0003626764929517563,0.002494541124381543,0.0,0.9886621315178524,0.01133786848214756,349
iha_VIR,-250.40258875208553,-252.23058173431843,-252.23058173431826,-250.8492166353987,8,1.001701644923426,3,0.17016449234259784,MPPA,F81,0.00019204748507685538,0.0013209302468412062,0.0,0.9886621314408228,0.011337868559177232,781
iucABCD_VIR,-257.62958589919094,-259.0944410788378,-259.0944410788379,-258.0190986978652,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.00017094284648505665,0.0011757695046768256,0.0,0.988662127936959,0.011337872063041063,806
sfaF_VIR,-27.08699094742113,-27.823561638513176,-27.823561638513183,-27.379320235504103,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.0007125961691261427,0.004901339026674572,0.0,0.9886621314078398,0.011337868592160186,7
aac6IbcrblaOXAOH_AMR,-199.82942170788525,-202.4848053192738,-202.48480531927382,-201.62321530202334,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.0036861032524960506,0.02535354877078044,0.0,0.9288012487738813,0.07119875122611873,250
IncY_PLASMID,-109.69216371190495,-112.32263177012739,-112.32263177012737,-111.45652917865945,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.005325240029940579,0.03662776747335713,0.0,0.9278217363438535,0.07217826365614655,49
ermB_AMR,-56.8001542622334,-58.53101285323677,-59.82820579613772,-57.821478264542414,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.0023672945834324584,0.016282592907623253,0.0,0.9886621312781251,0.011337868721874941,15
IncFIA_PLASMID,-197.19472545835868,-199.077411631016,-199.07741163101593,-198.32028812081498,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.004514591685833506,0.031052011472937527,0.0,0.6411304142135815,0.3588695857864186,638
papCFGII_VIR,-200.5552113152475,-203.58746188579042,-203.58746188579033,-202.92679411679757,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.00046469246707488046,0.003196221679199934,0.0,0.9886621314902023,0.01133786850979763,255
blaCTXM27_AMR,-85.73992811700936,-86.37514245654538,-86.37514245654542,-86.3489921261574,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.0018941504605171076,0.013028239522969838,0.0,0.9329354837804423,0.06706451621955763,109
ymgB_STRESS,-88.17515770272186,-92.9145069983375,-92.9145069983375,-92.19334854655473,4,1.0011344299489506,2,0.11344299489506524,MPPA,F81,0.010429452681264478,0.07173527682056408,0.0,0.028263655417353442,0.9717363445826465,861
ibeA_VIR,-24.363874433491617,-25.20718573737622,-25.207185737376133,-24.578225021329768,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.00024190802378942772,0.0016638782093353589,0.0,0.9652019315277331,0.03479806847226684,41
sslE_VIR,-23.426841987083918,-23.95513261874561,-23.955132618745658,-23.57322008918896,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.00021202641666576895,0.001458348214198633,0.0,0.9886621315192744,0.011337868480725623,21
mdtM_AMR,-61.22915573736282,-61.79578348012001,-61.795783480119994,-61.26764579059433,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.00018047601216480115,0.001241339990483935,0.0,0.9274675529229865,0.07253244707701349,820
qnrB_AMR,-30.17862461637672,-31.18794008352008,-31.187940083520076,-31.06206138842973,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.002233565623421623,0.015362785870909192,0.0,0.9886621332970604,0.011337866702939547,5
mchF_VIR,-46.876493401203696,-48.31247515903256,-48.312475159032566,-47.6680624987399,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.0008086529841687035,0.00556203162753926,0.0,0.9830438190238376,0.016956180976162305,16
gyrAS83L_AMR,-61.24604358057968,-61.94557921660578,-61.94557921660606,-61.417953509718224,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.00018018915723325905,0.0012393669609731459,0.0,0.9282179242395525,0.07178207576044754,776
IncC_PLASMID,-50.230484290345245,-51.4947679786997,-51.49476797869971,-51.3029371236182,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.0033095451483220943,0.02276352792620909,0.0,0.981768896984345,0.018231103015655014,10
ant2Ia_AMR,-26.77734715953055,-27.697677900970938,-27.697677900970938,-27.49942856594219,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.0015292400091039468,0.010518332910721193,0.0,0.9886621316556788,0.011337868344321168,5
qnrS1_AMR,-60.526150088421126,-62.46726413298176,-62.467264132981725,-62.1265245257179,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.005000795600273847,0.03439619198360561,0.0,0.9784493445781827,0.021550655421817305,12
iss_VIR,-122.10252843603934,-122.83601116948182,-122.83601116948172,-122.19432940034335,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.002459675809485674,0.0169180042783326,0.0,0.6066272933827823,0.39337270661721774,736
iutA_VIR,-64.03053356349662,-71.90497135269646,-72.40273810125618,-71.43005063913708,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.8495381876067071,5.8432459420506015,0.0,0.9856876813491792,0.014312318650820874,14
aap_VIR,-15.339704757617682,-15.860267396230654,-15.860267396230677,-15.389323831643319,2,1.0005672149744753,1,0.05672149744753262,MPPA,F81,0.00028895974780244755,0.0019875067400081247,0.0,0.9886621312971726,0.011337868702827433,6
papA_VIR,-43.328035837979556,-43.81950043674481,-43.819500436744796,-43.819500436744796,1,1.0,0,0.0,MPPA,F81,0.0007590907246648243,0.005221135272378621,0.0,0.9886621312187748,0.011337868781225236,23
aaraatAagg3DCBagg5AaggR_VIR,-8.79825760550301,-8.908458104511624,-8.908458104511674,-8.908458104511674,1,1.0,0,0.0,MPPA,F81,0.00019519503837371572,0.0013425795714949696,0.0,0.9485255584149408,0.05147444158505924,5
emrE_STRESS,-91.9227830525366,-91.92467612365147,-91.92467612365155,-91.92467612365155,1,1.0,0,0.0,MPPA,F81,0.000176706538453468,0.0012154130076964225,0.0,0.9164321529207698,0.0835678470792302,875
gyrAD87NparCS80I_AMR,-55.85757290394997,-55.99364785830983,-55.99364785830993,-55.99364785830993,1,1.0,0,0.0,MPPA,F81,0.00023500672176910095,0.0016164100606241806,0.0,0.9073520626345553,0.09264793736544473,688
