,0
blaTEMCA_AMR,67
IncX_PLASMID,62
aph3Ib_AMR,54
aac3_AMR,46
aph6Id_AMR,40
mphA_AMR,40
tet_AMR,35
sul_AMR,26
Col_PLASMID,25
senB_VIR,23
aadAqacE_AMRSTRESS,23
dfrA_AMR,21
IncI_PLASMID,19
aph3Ia_AMR,18
IncFIB_PLASMID,12
astA_VIR,8
cvaC_VIR,8
afaCnfaE_VIR,7
merCPRT_STRESS,5
catA_AMR,5
ireA_VIR,4
cnf1_VIR,4
sat_VIR,4
blaNDMble_AMR,4
BlaKPC_AMR,4
IncFII_PLASMID,4
IncQ1_PLASMID,4
blaCTXM15_AMR,3
iha_VIR,3
hlyAalpha_VIR,3
cmlA_AMR,3
iucABCD_VIR,2
aac6IbcrblaOXAOH_AMR,2
sfaF_VIR,2
IncFIA_PLASMID,2
papCFGII_VIR,2
IncY_PLASMID,2
ermB_AMR,2
ymgB_STRESS,2
blaCTXM27_AMR,2
ant2Ia_AMR,1
mdtM_AMR,1
qnrB_AMR,1
iutA_VIR,1
qnrS1_AMR,1
iss_VIR,1
ibeA_VIR,1
gyrAS83L_AMR,1
sslE_VIR,1
IncC_PLASMID,1
aap_VIR,1
mchF_VIR,1
parEE460D_AMR,0
parEI529L_AMR,0
parEL445H_AMR,0
parCS80R_AMR,0
sat2_AMR,0
papH_VIR,0
blaCTXM_AMR,0
blaCTXM14_AMR,0
IncBOKZ_PLASMID,0
parCE84V_AMR,0
aac6_AMR,0
papE_VIR,0
ampCT32A_AMR,0
papA_VIR,0
emrE_STRESS,0
IncN_PLASMID,0
acrF_AMR,0
kefBpsiGItrxLHR_STRESS,0
blaCMY_AMR,0
iroBCDEN_VIR,0
blaTEMIR_AMR,0
aaraatAagg3DCBagg5AaggR_VIR,0
catB_AMR,0
gyrAD87NparCS80I_AMR,0
glpTE448K_AMR,0
fdeC_VIR,0
p0111_PLASMID,0
