,bioproject_id_META
SAMN09405752,PRJNA475142
SAMN13082362,PRJNA578285
SAMN13082361,PRJNA578285
SAMN13082350,PRJNA578285
SAMN13082346,PRJNA578285
SAMN10093604,PRJNA448593
SAMN10093603,PRJNA448593
SAMN11285030,PRJNA475751
SAMN13082394,PRJNA578285
SAMN13082275,PRJNA578285
SAMN13082268,PRJNA578285
SAMN13082261,PRJNA578285
SAMN13082358,PRJNA578285
SAMN13082357,PRJNA578285
SAMN16340161,PRJNA475751
SAMN16340160,PRJNA475751
SAMN15868698,PRJNA658369
SAMN11319406,PRJNA530580
SAMN13423006,PRJNA592372
SAMN13423000,PRJNA592372
SAMN11319163,PRJNA530580
SAMN06702094,PRJNA381936
SAMN13082264,PRJNA578285
SAMN13082263,PRJNA578285
SAMN15868694,PRJNA658369
SAMN26308806,PRJNA809394
SAMN26304930,PRJNA809394
SAMN26305101,PRJNA809394
SAMN26308820,PRJNA809394
SAMN26308789,PRJNA809394
SAMN26304500,PRJNA809394
SAMN04339721,PRJNA278886
SAMN04339726,PRJNA278886
SAMN06007768,PRJNA278886
SAMN06680400,PRJNA278886
SAMN06754733,PRJNA278886
SAMN07325901,PRJNA278886
SAMN07775514,PRJNA278886
SAMN11335387,PRJNA530794
SAMN11335390,PRJNA530794
SAMN11335391,PRJNA530794
SAMN11335392,PRJNA530794
SAMN13082309,PRJNA578285
SAMN13082308,PRJNA578285
SAMN13082307,PRJNA578285
SAMN13082306,PRJNA578285
SAMN13082286,PRJNA578285
SAMN13082285,PRJNA578285
SAMN13082284,PRJNA578285
SAMN13082277,PRJNA578285
SAMN13082274,PRJNA578285
SAMN13082273,PRJNA578285
SAMN13082259,PRJNA578285
SAMN13082257,PRJNA578285
SAMN13082254,PRJNA578285
SAMN13082253,PRJNA578285
SAMN13082366,PRJNA578285
SAMN13082363,PRJNA578285
SAMN13082338,PRJNA578285
SAMN13082337,PRJNA578285
SAMN13082336,PRJNA578285
SAMN13082333,PRJNA578285
SAMN13082332,PRJNA578285
SAMN15868253,PRJNA658369
SAMN15868572,PRJNA658369
SAMN16340135,PRJNA475751
SAMN12220351,PRJNA475751
SAMN12220346,PRJNA475751
SAMN12220341,PRJNA475751
SAMN12220332,PRJNA475751
SAMN26308860,PRJNA809394
SAMN26304539,PRJNA809394
SAMN26308885,PRJNA809394
SAMN27404390,PRJNA824420
SAMN27404376,PRJNA824420
SAMN27404352,PRJNA824420
SAMN27404319,PRJNA824420
SAMN02801907,PRJNA248737
SAMN04339725,PRJNA278886
SAMN06007773,PRJNA278886
SAMN07775518,PRJNA278886
SAMN11335398,PRJNA530794
SAMN13082302,PRJNA578285
SAMN13082235,PRJNA578285
SAMN13082233,PRJNA578285
SAMN13082249,PRJNA578285
SAMN13082398,PRJNA578285
SAMN13082391,PRJNA578285
SAMN13082379,PRJNA578285
SAMN13082244,PRJNA578285
SAMN13082365,PRJNA578285
SAMN13082241,PRJNA578285
SAMN13082343,PRJNA578285
SAMN13082239,PRJNA578285
SAMN13082229,PRJNA578285
SAMN10093574,PRJNA448593
SAMN10093584,PRJNA448593
SAMN10093608,PRJNA448593
SAMN06702069,PRJNA381936
SAMN15868506,PRJNA658369
SAMN15868237,PRJNA658369
SAMN15868188,PRJNA658369
SAMN16340130,PRJNA475751
SAMN16340124,PRJNA475751
SAMN13622038,PRJNA475751
SAMN12220347,PRJNA475751
SAMN12220328,PRJNA475751
SAMN11285021,PRJNA475751
SAMN10435682,PRJNA475751
SAMN09400803,PRJNA475751
SAMN16340175,PRJNA475751
SAMN27404407,PRJNA824420
SAMN27404406,PRJNA824420
SAMN26304908,PRJNA809394
SAMN15868989,PRJNA658369
SAMN26304538,PRJNA809394
SAMN26304537,PRJNA809394
SAMN26305028,PRJNA809394
SAMN26308463,PRJNA809394
SAMN26305017,PRJNA809394
SAMN26309412,PRJNA809394
SAMN26308462,PRJNA809394
SAMN26305018,PRJNA809394
SAMN26308787,PRJNA809394
SAMN26308809,PRJNA809394
SAMN26308465,PRJNA809394
SAMN26308468,PRJNA809394
SAMN26308466,PRJNA809394
SAMN26308467,PRJNA809394
SAMN26308469,PRJNA809394
SAMN05194531,PRJNA278886
SAMN13082387,PRJNA578285
SAMN15868523,PRJNA658369
SAMN26308822,PRJNA809394
SAMN26308821,PRJNA809394
SAMN26308747,PRJNA809394
SAMN26308846,PRJNA809394
SAMN26308845,PRJNA809394
SAMN26304552,PRJNA809394
SAMN26304551,PRJNA809394
SAMN26304554,PRJNA809394
SAMN26304553,PRJNA809394
SAMN26304555,PRJNA809394
SAMN02801902,PRJNA248737
SAMN02801846,PRJNA248737
SAMN02801844,PRJNA248737
SAMN02801840,PRJNA248737
SAMN02801838,PRJNA248737
SAMN13082271,PRJNA578285
SAMN13082270,PRJNA578285
SAMN13082269,PRJNA578285
SAMN13082403,PRJNA578285
SAMN13082262,PRJNA578285
SAMN13082232,PRJNA578285
SAMN13082231,PRJNA578285
SAMN13082230,PRJNA578285
SAMN22677346,PRJNA288601
SAMN09400874,PRJNA475751
SAMN09400841,PRJNA475751
SAMN26308844,PRJNA809394
SAMN13082397,PRJNA578285
SAMN02801889,PRJNA248737
SAMN02801890,PRJNA248737
SAMN11319494,PRJNA530580
SAMN16340164,PRJNA475751
SAMN16340122,PRJNA475751
SAMN09400801,PRJNA475751
SAMN26304757,PRJNA809394
SAMN26308854,PRJNA809394
SAMN26308796,PRJNA809394
SAMN26308868,PRJNA809394
SAMN26308776,PRJNA809394
SAMN26308775,PRJNA809394
SAMN26308774,PRJNA809394
SAMN26308773,PRJNA809394
SAMN26308791,PRJNA809394
SAMN26308856,PRJNA809394
SAMN26308825,PRJNA809394
SAMN26308837,PRJNA809394
SAMN11335437,PRJNA530794
SAMN16935937,PRJNA288601
SAMN26308853,PRJNA809394
SAMN13082383,PRJNA578285
SAMN13082252,PRJNA578285
SAMN09400819,PRJNA475751
SAMN15868657,PRJNA658369
SAMN13082352,PRJNA578285
SAMN13082341,PRJNA578285
SAMN13082340,PRJNA578285
SAMN13082339,PRJNA578285
SAMN16340147,PRJNA475751
SAMN13622034,PRJNA475751
SAMN13176246,PRJNA587095
SAMN13176243,PRJNA587095
SAMN13176253,PRJNA587095
SAMN13176239,PRJNA587095
SAMN14669297,PRJNA288601
SAMN14792114,PRJNA288601
SAMN06015664,PRJNA278886
SAMN10093579,PRJNA448593
SAMN10093575,PRJNA448593
SAMN10093600,PRJNA448593
SAMN10093580,PRJNA448593
SAMN10093573,PRJNA448593
SAMN10093594,PRJNA448593
SAMN10093595,PRJNA448593
SAMN10093586,PRJNA448593
SAMN10093577,PRJNA448593
SAMN10093585,PRJNA448593
SAMN10093587,PRJNA448593
SAMN10093592,PRJNA448593
SAMN10093593,PRJNA448593
SAMN10093554,PRJNA448593
SAMN10093598,PRJNA448593
SAMN10093615,PRJNA448593
SAMN10093631,PRJNA448593
SAMN10093648,PRJNA448593
SAMN06702095,PRJNA381936
SAMN06702089,PRJNA381936
SAMN06702076,PRJNA381936
SAMN06702071,PRJNA381936
SAMN06702070,PRJNA381936
SAMN02801894,PRJNA248737
SAMN02801895,PRJNA248737
SAMN02801877,PRJNA248737
SAMN02801819,PRJNA248737
SAMN02801817,PRJNA248737
SAMN04022944,PRJNA278886
SAMN04096278,PRJNA278886
SAMN04339718,PRJNA278886
SAMN04339719,PRJNA278886
SAMN04393386,PRJNA278886
SAMN04393396,PRJNA278886
SAMN05510456,PRJNA278886
SAMN05463123,PRJNA278886
SAMN05774075,PRJNA278886
SAMN05774079,PRJNA278886
SAMN22066475,PRJNA288601
