biosample_id,specimen_type_META
SAMN09405752,blood
SAMN13082362,urine
SAMN13082361,urine
SAMN13082350,urine
SAMN13082346,urine
SAMN10093604,urine
SAMN10093603,urine
SAMN11285030,blood
SAMN13082394,urine
SAMN13082275,urine
SAMN13082268,urine
SAMN13082261,urine
SAMN13082358,urine
SAMN13082357,urine
SAMN16340161,blood
SAMN16340160,blood
SAMN15868698,urine
SAMN11319406,urine
SAMN13423006,urine
SAMN13423000,urine
SAMN11319163,urine
SAMN06702094,urine
SAMN13082264,urine
SAMN13082263,urine
SAMN15868694,blood
SAMN26308806,urine
SAMN26304930,urine
SAMN26305101,urine
SAMN26308820,urine
SAMN26308789,urine
SAMN26304500,urine
SAMN04339721,urine
SAMN04339726,urine
SAMN06007768,urine
SAMN06680400,blood
SAMN06754733,urine
SAMN07325901,urine
SAMN07775514,urine
SAMN11335387,urine
SAMN11335390,urine
SAMN11335391,urine
SAMN11335392,urine
SAMN13082309,urine
SAMN13082308,urine
SAMN13082307,urine
SAMN13082306,urine
SAMN13082286,urine
SAMN13082285,urine
SAMN13082284,urine
SAMN13082277,urine
SAMN13082274,urine
SAMN13082273,urine
SAMN13082259,urine
SAMN13082257,urine
SAMN13082254,blood
SAMN13082253,urine
SAMN13082366,urine
SAMN13082363,urine
SAMN13082338,urine
SAMN13082337,urine
SAMN13082336,urine
SAMN13082333,urine
SAMN13082332,urine
SAMN15868253,urine
SAMN15868572,urine
SAMN16340135,blood
SAMN12220351,urine
SAMN12220346,urine
SAMN12220341,blood
SAMN12220332,urine
SAMN26308860,urine
SAMN26304539,urine
SAMN26308885,urine
SAMN27404390,urine
SAMN27404376,blood
SAMN27404352,urine
SAMN27404319,urine
SAMN02801907,blood
SAMN04339725,urine
SAMN06007773,urine
SAMN07775518,urine
SAMN11335398,urine
SAMN13082302,blood
SAMN13082235,urine
SAMN13082233,urine
SAMN13082249,urine
SAMN13082398,urine
SAMN13082391,urine
SAMN13082379,urine
SAMN13082244,urine
SAMN13082365,urine
SAMN13082241,urine
SAMN13082343,urine
SAMN13082239,urine
SAMN13082229,blood
SAMN10093574,urine
SAMN10093584,urine
SAMN10093608,urine
SAMN06702069,blood
SAMN15868506,urine
SAMN15868237,urine
SAMN15868188,urine
SAMN16340130,urine
SAMN16340124,urine
SAMN13622038,urine
SAMN12220347,urine
SAMN12220328,urine
SAMN11285021,urine
SAMN10435682,urine
SAMN09400803,blood
SAMN16340175,urine
SAMN27404407,urine
SAMN27404406,urine
SAMN26304908,urine
SAMN15868989,blood
SAMN26304538,urine
SAMN26304537,urine
SAMN26305028,urine
SAMN26308463,urine
SAMN26305017,urine
SAMN26309412,urine
SAMN26308462,urine
SAMN26305018,urine
SAMN26308787,urine
SAMN26308809,urine
SAMN26308465,urine
SAMN26308468,urine
SAMN26308466,urine
SAMN26308467,urine
SAMN26308469,urine
SAMN05194531,blood
SAMN13082387,urine
SAMN15868523,blood
SAMN26308822,urine
SAMN26308821,blood
SAMN26308747,urine
SAMN26308846,urine
SAMN26308845,urine
SAMN26304552,urine
SAMN26304551,urine
SAMN26304554,urine
SAMN26304553,urine
SAMN26304555,urine
SAMN02801902,blood
SAMN02801846,blood
SAMN02801844,blood
SAMN02801840,blood
SAMN02801838,blood
SAMN13082271,urine
SAMN13082270,urine
SAMN13082269,urine
SAMN13082403,urine
SAMN13082262,urine
SAMN13082232,urine
SAMN13082231,urine
SAMN13082230,urine
SAMN22677346,blood
SAMN09400874,urine
SAMN09400841,urine
SAMN26308844,urine
SAMN13082397,urine
SAMN02801889,blood
SAMN02801890,blood
SAMN11319494,urine
SAMN16340164,urine
SAMN16340122,blood
SAMN09400801,urine
SAMN26304757,urine
SAMN26308854,urine
SAMN26308796,urine
SAMN26308868,urine
SAMN26308776,urine
SAMN26308775,urine
SAMN26308774,urine
SAMN26308773,urine
SAMN26308791,urine
SAMN26308856,urine
SAMN26308825,urine
SAMN26308837,urine
SAMN11335437,urine
SAMN16935937,urine
SAMN26308853,urine
SAMN13082383,urine
SAMN13082252,urine
SAMN09400819,blood
SAMN15868657,urine
SAMN13082352,urine
SAMN13082341,urine
SAMN13082340,urine
SAMN13082339,urine
SAMN16340147,urine
SAMN13622034,urine
SAMN13176246,urine
SAMN13176243,urine
SAMN13176253,urine
SAMN13176239,urine
SAMN14669297,urine
SAMN14792114,urine
SAMN06015664,urine
SAMN10093579,urine
SAMN10093575,urine
SAMN10093600,urine
SAMN10093580,urine
SAMN10093573,urine
SAMN10093594,urine
SAMN10093595,urine
SAMN10093586,urine
SAMN10093577,urine
SAMN10093585,urine
SAMN10093587,urine
SAMN10093592,urine
SAMN10093593,urine
SAMN10093554,urine
SAMN10093598,urine
SAMN10093615,urine
SAMN10093631,urine
SAMN10093648,urine
SAMN06702095,blood
SAMN06702089,urine
SAMN06702076,urine
SAMN06702071,urine
SAMN06702070,blood
SAMN02801894,blood
SAMN02801895,blood
SAMN02801877,blood
SAMN02801819,blood
SAMN02801817,blood
SAMN04022944,urine
SAMN04096278,blood
SAMN04339718,urine
SAMN04339719,urine
SAMN04393386,urine
SAMN04393396,urine
SAMN05510456,urine
SAMN05463123,urine
SAMN05774075,urine
SAMN05774079,urine
SAMN22066475,urine
SAMN22657223,urine
SAMN25004485,blood
SAMN25226678,urine
SAMN25226641,urine
SAMN27020195,urine
SAMN26308501,urine
SAMN26305087,urine
SAMN26308893,urine
SAMN26308792,urine
SAMN26304707,urine
SAMN26308877,urine
SAMN26305030,urine
SAMN26304562,urine
SAMN26308476,urine
SAMN26304760,urine
SAMN26304604,urine
SAMN26304603,urine
SAMN26304761,urine
SAMN26304399,urine
SAMN26308786,urine
SAMN26304756,urine
SAMN26304385,urine
SAMN26308834,urine
SAMN26308818,urine
SAMN26304412,urine
SAMN26304558,urine
SAMN26305029,urine
SAMN26304559,urine
SAMN26304414,urine
SAMN26305100,urine
SAMN26308891,urine
SAMN26304501,urine
SAMN26308494,urine
SAMN26305071,urine
SAMN26308793,urine
SAMN26308874,urine
SAMN26304325,urine
SAMN26308487,urine
SAMN26308475,urine
SAMN26304704,urine
SAMN26304759,urine
SAMN26308797,urine
SAMN26308802,urine
SAMN26308483,urine
SAMN26305032,urine
SAMN26308878,urine
SAMN26308805,urine
SAMN26308889,urine
SAMN26305098,urine
SAMN26304933,urine
SAMN26304503,urine
SAMN26308892,urine
SAMN26304623,urine
SAMN26304622,urine
SAMN26308871,urine
SAMN26304504,urine
SAMN26309425,urine
SAMN26304479,urine
SAMN26308819,urine
SAMN26308861,urine
SAMN26308500,urine
SAMN26304706,urine
SAMN26308788,urine
SAMN26309423,urine
SAMN26308862,urine
SAMN26304560,urine
SAMN26304540,urine
SAMN26304411,urine
SAMN26305070,urine
SAMN26308849,urine
SAMN26304498,urine
SAMN26308812,urine
SAMN26304705,urine
SAMN26308474,urine
SAMN26304499,urine
SAMN26304536,urine
SAMN26304561,urine
SAMN26308482,urine
SAMN26308879,urine
SAMN26308492,urine
SAMN26304569,urine
SAMN26305182,urine
SAMN26304415,urine
SAMN26305099,urine
SAMN26305097,urine
SAMN26304469,urine
SAMN26309424,urine
SAMN26308890,urine
SAMN26304885,urine
SAMN26304907,urine
SAMN26304413,urine
SAMN26308472,urine
SAMN26305033,urine
SAMN26308847,urine
SAMN26308851,urine
SAMN26304506,urine
SAMN26308499,urine
SAMN26304755,urine
SAMN29599259,urine
SAMN29440615,urine
SAMN29767728,urine
SAMN29869135,blood
SAMN30109982,urine
SAMN30370668,urine
SAMN27404457,urine
SAMN27404455,urine
SAMN27404459,blood
SAMN27404449,blood
SAMN27404448,urine
SAMN27404441,urine
SAMN27404431,urine
SAMN27404426,urine
SAMN27404411,urine
SAMN27404417,blood
SAMN27404401,urine
SAMN27404393,blood
SAMN27404392,urine
SAMN27404391,blood
SAMN27404382,urine
SAMN27404383,urine
SAMN27404372,urine
SAMN27404354,urine
SAMN27404345,urine
SAMN27404335,urine
SAMN27404327,blood
SAMN27404323,urine
SAMN27404321,urine
SAMN27404318,urine
SAMN28174028,blood
SAMN30965858,blood
SAMN26308481,urine
SAMN26308886,urine
SAMN26308799,urine
SAMN26304338,urine
SAMN26308485,urine
SAMN26304339,urine
SAMN26308841,urine
SAMN26304505,urine
SAMN26304758,urine
SAMN26308480,urine
SAMN26308859,urine
SAMN26308852,blood
SAMN26304932,urine
SAMN26305019,urine
SAMN26308488,urine
SAMN26308785,urine
SAMN26308865,urine
SAMN26308807,urine
SAMN11335376,urine
SAMN20203224,urine
SAMN15226391,urine
SAMN11319183,urine
SAMN11319341,urine
SAMN11319335,urine
SAMN11319300,urine
SAMN11319299,urine
SAMN11319305,urine
SAMN11319182,urine
SAMN11319316,urine
SAMN11319313,urine
