,collection_date,0
SAMN09405752,1985,1986.0
SAMN13082362,2012,2013.0
SAMN13082361,2011,2012.0
SAMN13082350,2013,2014.0
SAMN13082346,2013,2013.0
SAMN10093604,2013,2013.0
SAMN10093603,2013,2013.0
SAMN11285030,2018,2018.0
SAMN13082394,2011,2011.0
SAMN13082275,2012,2013.0
SAMN13082268,2012,2013.0
SAMN13082261,2011,2012.0
SAMN13082358,2011,2011.0
SAMN13082357,2010,2010.78
SAMN16340161,2019,2020.0
SAMN16340160,2019,2020.0
SAMN15868698,2016,2016.0
SAMN11319406,2011,2012.0
SAMN13423006,2011,2012.0
SAMN13423000,2011,2012.0
SAMN11319163,2010,2010.0
SAMN06702094,2015-02-24,2015.15
SAMN13082264,2013,2013.0
SAMN13082263,2011,2011.11
SAMN15868694,2016,2016.0
SAMN26308806,2019-12-04,2019.92
SAMN26304930,2020-01-23,2020.06
SAMN26305101,2020-03-30,2020.24
SAMN26308820,2020-01-13,2020.03
SAMN26308789,2019-10-11,2019.78
SAMN26304500,2020-02-13,2020.12
SAMN04339721,2015,2015.39
SAMN04339726,2015,2015.0
SAMN06007768,2016,2016.0
SAMN06680400,2016,2016.4
SAMN06754733,2016,2016.0
SAMN07325901,2016,2017.0
SAMN07775514,2016,2016.0
SAMN11335387,2017/2018,2017.0
SAMN11335390,2017/2018,2017.0
SAMN11335391,2017/2018,2017.0
SAMN11335392,2017/2018,2019.0
SAMN13082309,2013,2013.0
SAMN13082308,2012,2013.0
SAMN13082307,2012,2013.0
SAMN13082306,2011,2011.0
SAMN13082286,2010,2010.0
SAMN13082285,2010,2011.0
SAMN13082284,2010,2010.0
SAMN13082277,2012,2013.0
SAMN13082274,2012,2012.0
SAMN13082273,2012,2013.0
SAMN13082259,2012,2012.0
SAMN13082257,2012,2012.0
SAMN13082254,2011,2011.59
SAMN13082253,2011,2011.0
SAMN13082366,2013,2013.0
SAMN13082363,2012,2012.43
SAMN13082338,2013,2013.75
SAMN13082337,2012,2012.0
SAMN13082336,2012,2013.0
SAMN13082333,2012,2012.0
SAMN13082332,2012,2012.0
SAMN15868253,2016,2016.0
SAMN15868572,2017,2017.58
SAMN16340135,2019,2019.0
SAMN12220351,2018,2018.91
SAMN12220346,2018,2018.91
SAMN12220341,2018,2018.0
SAMN12220332,2018,2018.0
SAMN26308860,2019-10-09,2019.77
SAMN26304539,2019-11-22,2019.89
SAMN26308885,2020-07-30,2020.58
SAMN27404390,2017-03-15,2017.2
SAMN27404376,2019-10-12,2019.78
SAMN27404352,2017-06-05,2017.42
SAMN27404319,2019-12-26,2019.98
SAMN02801907,2011,2011.74
SAMN04339725,2015,2016.0
SAMN06007773,2016,2016.0
SAMN07775518,2017,2017.0
SAMN11335398,2017/2018,2017.0
SAMN13082302,2010,2011.0
SAMN13082235,2010,2010.0
SAMN13082233,2010,2010.0
SAMN13082249,2011,2012.0
SAMN13082398,2012,2012.0
SAMN13082391,2011,2011.0
SAMN13082379,2010,2011.0
SAMN13082244,2011,2011.0
SAMN13082365,2013,2013.0
SAMN13082241,2010,2010.0
SAMN13082343,2013,2014.0
SAMN13082239,2010,2011.0
SAMN13082229,2011,2012.0
SAMN10093574,2014,2014.0
SAMN10093584,2015,2016.0
SAMN10093608,2013,2013.36
SAMN06702069,2014-11-12,2014.86
SAMN15868506,2017,2017.0
SAMN15868237,2016,2016.0
SAMN15868188,2016,2016.0
SAMN16340130,2019,2019.45
SAMN16340124,2018,2019.0
SAMN13622038,2018,2018.0
SAMN12220347,2018,2018.65
SAMN12220328,2018,2018.0
SAMN11285021,2018,2019.0
SAMN10435682,2018,2019.0
SAMN10435684,2018,
SAMN09400803,2017,2017.68
SAMN16340175,2019,2019.0
SAMN27404407,2018-10-26,2018.82
SAMN27404406,2018-09-10,2018.69
SAMN26304908,2020-08-26,2020.65
