,gyrA_D87N,gyrA_S83L,parC_A56T,parC_E84V,parC_S57T,parC_S80I,parC_S80R,parE_E460D,parE_I529L,parE_L445H
gyrA_D87N,1.0,0.7074776089969431,0.012801510675095329,0.9181463686550332,-0.09868491930930895,0.9967654016645959,-0.1397593146746334,0.04977706383942988,0.10201434834661581,0.07305815242250478
gyrA_S83L,0.7074776089969431,1.0,0.009056782163965231,0.6517604036690978,-0.13948839942683705,0.7097734409876758,0.028713069670046408,0.03521615810800845,0.14380465093247694,0.05168700699360808
parC_A56T,0.012801510675095329,0.009056782163965231,1.0,0.013895876633468425,-0.0012633160480090442,0.012760102929975106,-0.0017891303587513317,-0.002194342099735644,0.005197691167059944,-0.003220651585773436
parC_E84V,0.9181463686550332,0.6517604036690978,0.013895876633468425,1.0,-0.09091301551759111,0.9182654154572872,-0.1287526081256499,-0.1579131822781541,0.3740455751126387,-0.23177030645309896
parC_S57T,-0.09868491930930895,-0.13948839942683705,-0.0012633160480090442,-0.09091301551759111,1.0,-0.09900516123904905,-0.004005140130906006,-0.004912245528448504,-0.24305331105765393,-0.007209737876702108
parC_S80I,0.9967654016645959,0.7097734409876758,0.012760102929975106,0.9182654154572872,-0.09900516123904905,1.0,-0.14021284691586955,0.04961605503159415,0.09630890003217028,0.07282183864429165
parC_S80R,-0.1397593146746334,0.028713069670046408,-0.0017891303587513317,-0.1287526081256499,-0.004005140130906006,-0.14021284691586955,1.0,-0.0069568083287142755,0.016478442994573843,-0.010210557313964192
parE_E460D,0.04977706383942988,0.03521615810800845,-0.002194342099735644,-0.1579131822781541,-0.004912245528448504,0.04961605503159415,-0.0069568083287142755,1.0,-0.42217631429164937,-0.012523098535666456
parE_I529L,0.10201434834661581,0.14380465093247694,0.005197691167059944,0.3740455751126387,-0.24305331105765393,0.09630890003217028,0.016478442994573843,-0.42217631429164937,1.0,-0.6196311943626241
parE_L445H,0.07305815242250478,0.05168700699360808,-0.003220651585773436,-0.23177030645309896,-0.007209737876702108,0.07282183864429165,-0.010210557313964192,-0.012523098535666456,-0.6196311943626241,1.0
